title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Seule la danse, une année au conservatoire de Paris;Stéphane Carrel;;2024-09-17T18:00:00+0200;2024-09-17T19:00:00+0200;;;;Cap Danse;ELLIANT · Médiathèque
Masterclass;Bruce Chiefare;;2024-09-19T18:00:00+0200;2024-09-19T19:00:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
Inauguration du festival;;;2024-09-20T16:30:00+0200;2024-09-20T17:30:00+0200;;;;Cap Danse;MELGVEN · Salle polyvalente
Atelier dessin;Isabelle Richard;;2024-09-21T10:00:00+0200;2024-09-21T11:00:00+0200;;;;Cap Danse;MELGVEN · Médiathèque
Conversations dansées;Ensemble Chorégraphique du Conservatoire de Paris;;2024-09-21T10:00:00+0200;2024-09-21T11:00:00+0200;;;;Cap Danse;PONT-AVEN · parvis du musée
Atelier avec Laure Fouard;Autour de Cinégraphie d'Émeline Rabadeux;;2024-09-21T10:00:00+0200;2024-09-21T11:00:00+0200;;;;Cap Danse;TOURC'H · SAINT-YVI
Cinégraphie;Émeline Rabadeux;;2024-09-21T11:00:00+0200;2024-09-21T12:00:00+0200;;;;Cap Danse;TOURC'H · SAINT-YVI
Atelier avec Laure Fouard;Autour de Cinégraphie d'Émeline Rabadeux;;2024-09-21T10:00:00+0200;2024-09-21T11:00:00+0200;;;;Cap Danse;TOURC'H · SAINT-YVI
Cinégraphie;Émeline Rabadeux;;2024-09-21T11:00:00+0200;2024-09-21T12:00:00+0200;;;;Cap Danse;TOURC'H · SAINT-YVI
My lunch with…;Repas à la rencontre du Conservatoire de Paris;;2024-09-21T12:30:00+0200;2024-09-21T13:30:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
Influences 2.0;Bruce Chiefare;;2024-09-21T17:00:00+0200;2024-09-21T18:00:00+0200;;;;Cap Danse;ROSPORDEN · Place de la mairie
Concerto;Lucinda Childs par l'Ensemble Chorégraphique du Conservatoire de Paris;;2024-09-21T19:30:00+0200;2024-09-21T20:30:00+0200;;;;Cap Danse;CONCARNEAU · Château de Keriolet
Nox;Léa Vinette;;2024-09-21T20:00:00+0200;2024-09-21T21:00:00+0200;;;;Cap Danse;CONCARNEAU · Château de Keriolet
Cellophane;Tamir Golan par l'Ensemble Chorégraphique du Conservatoire de Paris;;2024-09-22T11:00:00+0200;2024-09-22T12:00:00+0200;;;;Cap Danse;TRÉGUNC · NÉVEZ
Cellophane;Tamir Golan par l'Ensemble Chorégraphique du Conservatoire de Paris;;2024-09-22T16:00:00+0200;2024-09-22T17:00:00+0200;;;;Cap Danse;TRÉGUNC · NÉVEZ
Show Patates;Marina Pirot;;2024-09-25T15:30:00+0200;2024-09-25T16:30:00+0200;;;;Cap Danse;ROSPORDEN · Kerminy
Cherry Collapse;Marine Chesnais;;2024-09-25T19:30:00+0200;2024-09-25T20:30:00+0200;;;;Cap Danse;CONCARNEAU · Carré des larrons
Atelier Escales;Escales avec Marine Chesnais;;2024-09-26T14:30:00+0200;2024-09-26T15:30:00+0200;;;;Cap Danse;CONCARNEAU · Maison des associations
La mer au féminin;Marine Chesnais et Laurence Cazadis;;2024-09-26T18:00:00+0200;2024-09-26T19:00:00+0200;;;;Cap Danse;CONCARNEAU · Musée de la Pêche
Yuli;Icíar Bollaín;;2024-09-26T20:00:00+0200;2024-09-26T21:00:00+0200;;;;Cap Danse;CONCARNEAU · Cinéville
Danse en bibliothèque;Bibliothèque du Finistère;;2024-09-27T09:30:00+0200;2024-09-27T10:30:00+0200;;;;Cap Danse;TOURC'H · Médiathèque
NDJOU-NDJOU;Ekilibro Noah;;2024-09-27T18:30:00+0200;2024-09-27T19:30:00+0200;;;;Cap Danse;ELLIANT · Parvis de la médiathèque
SOMNOLE;Boris Charmatz;;2024-09-27T21:00:00+0200;2024-09-27T22:00:00+0200;;;;Cap Danse;CONCARNEAU · CAC
Atelier GANG;Folly Romain Azaman;;2024-09-28T10:00:00+0200;2024-09-28T11:00:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
Sourcières;Anne Collod;;2024-09-28T14:00:00+0200;2024-09-28T15:00:00+0200;;;;Cap Danse;ROSPORDEN · Kerminy
étrangler le temps;Boris Charmatz et Emmanuelle Huynh;;2024-09-28T19:00:00+0200;2024-09-28T20:00:00+0200;;;;Cap Danse;CONCARNEAU · Fort du cabellou
Rave Lucid;Mazelfreten;;2024-09-28T21:00:00+0200;2024-09-28T22:00:00+0200;;;;Cap Danse;CONCARNEAU · CAC
Histoire(s) Décoloniale(s) #Folly;Betty Tchomanga;;2024-09-29T11:30:00+0200;2024-09-29T12:30:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
NDJOU-NDJOU;Ekilibro Noah;;2024-09-29T14:00:00+0200;2024-09-29T15:00:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
GANG bal participatif;Betty Tchomanga;;2024-09-29T15:00:00+0200;2024-09-29T16:00:00+0200;;;;Cap Danse;TRÉGUNC · Les Brigantines
