title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Sidilarsen | Madam | Dropdead Chaos;-;;2024-10-12T20:00:00+0200;2024-10-12T22:00:00+0200;51319332;https://www.lesarcs.bzh/spectacles/sidilarsen-madam-dropdead-chaos/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/sidilarsen-listing-24-25.jpg;Métal;
Mes Souliers Sont Rouges;213 Productions présente;+ La Ruse du Père Lafeinte;2024-10-19T20:30:00+0200;2024-10-19T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/mes-souliers-sont-rouges/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/mssr-2-listing-24-25.jpg;Chanson;
Robert Finley;"Dans le cadre du fesTival ""Les IndisciplinéEs""";+ Muddy Gurdy;2024-11-08T20:30:00+0200;2024-11-08T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/robert-finley/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/robert-finley-listing-24-25.jpg;Blues Soul;
Chicago Blues Festival 2024;Avec Stephen Hull • Sheryl Youngblood • Dave Herrero;+ KEPA;2024-11-23T20:30:00+0200;2024-11-23T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/chicago-blues-festival-2024/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/chicago-blues-listing-24-25.jpg;Blues;
Tiken Jah Fakoly;-;+ Jahkasa;2024-12-06T20:30:00+0200;2024-12-06T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/tiken-jah-fakoly/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/tiken-jah-fakoly-listing-24-25.jpg;Reggae;
Clara Ysé;-;+ Paul Barreyre;2025-02-01T20:30:00+0200;2025-02-01T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/clara-yse/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/clara-yse-listing-24-25.jpg;Chanson;
Olivia Ruiz;-;+ Léman;2025-02-07T20:30:00+0200;2025-02-07T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/olivia-ruiz/;;Chanson;
Alain Chamfort;“Le meilleur de moi-même”;;2025-02-28T20:30:00+0200;2025-02-28T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/alain-chamfort/;;Chanson;
Tanguy Pastureau;présenTé par 213 ProducTions;;2025-03-08T20:30:00+0200;2025-03-08T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/tanguy-pastureau/;;Humour;
Ballaké Sissoko • Piers Faccini;-;+ Ledeunff;2025-03-15T20:30:00+0200;2025-03-15T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/ballake-sissoko-piers-faccini/;;Chanson;
Nora Hamzawi;présenTé par Arsenal ProducTions;;2025-03-21T20:00:00+0200;2025-03-21T22:00:00+0200;51319332;https://www.lesarcs.bzh/spectacles/nora-hamzawi-2/;;Humour;
Benjamin Tranié;présenTé par Arsenal ProducTions en accord avec Agapè et SPG Records;;2025-04-04T20:30:00+0200;2025-04-04T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/benjamin-tranie/;;Humour;
Keziah Jones;-;+ Xavier Polycarpe;2025-04-05T20:30:00+0200;2025-04-05T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/keziah-jones/;;Blufunk Soul;
Waly Dia;présenTé par Arsenal ProducTions et AZ Prod en accord avec KWET;;2025-04-26T20:00:00+0200;2025-04-26T22:00:00+0200;51319332;https://www.lesarcs.bzh/spectacles/waly-dia/;;Humour;
Camille;-;;2025-05-16T20:30:00+0200;2025-05-16T22:30:00+0200;51319332;https://www.lesarcs.bzh/spectacles/camille/;;Chanson;
