title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
All we imagine as light;De Payal Kapadia;;2024-11-03T18:00:00+0100;2024-11-03T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
All we imagine as light;De Payal Kapadia;;2024-11-04T18:00:00+0100;2024-11-04T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
All we imagine as light;De Payal Kapadia;;2024-11-05T14:00:00+0100;2024-11-05T16:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
The Outrun;De Nora Fingscheidt;;2024-11-10T18:00:00+0100;2024-11-10T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
The Outrun;De Nora Fingscheidt;;2024-11-11T18:00:00+0100;2024-11-11T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
The Outrun;De Nora Fingscheidt;;2024-11-12T14:00:00+0100;2024-11-12T16:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
L'Histoire de Souleymane;De Boris Lojkine;;2024-11-17T18:00:00+0100;2024-11-17T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
L'Histoire de Souleymane;De Boris Lojkine;;2024-11-18T18:00:00+0100;2024-11-18T20:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
L'Histoire de Souleymane;De Boris Lojkine;;2024-11-19T14:00:00+0100;2024-11-19T16:00:00+0100;24412066;https://www.instagram.com/association_grand_ecran/;;Grand-Ecran-Cinéclub;
Echange avec Gwenn Le Doré;Rencontre autour de sa résidence à Tourc'h;;2024-11-08T18:00:00+0100;2024-11-08T20:00:00+0100;87389099;https://www.ouest-france.fr/bretagne/tourch-29140/gwenn-le-dore-va-faire-sonner-les-mots-a-la-mediatheque-de-tourch-8d37ee28-9854-11ef-b404-be0157f6379b;;Conte-Musique-Rencontre-Pays Koussoum-Percussions;
Inné de la lumière;Spectacle de Gwenn Le Doré;;2024-11-21T17:00:00+0100;2024-11-21T18:00:00+0100;87389099;https://www.ouest-france.fr/bretagne/tourch-29140/gwenn-le-dore-va-faire-sonner-les-mots-a-la-mediatheque-de-tourch-8d37ee28-9854-11ef-b404-be0157f6379b;;Conte-Musique-Rencontre-Pays Koussoum-Percussions;
