title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
THOMAS CROISIERE;-;;2024-09-22T20:00:00+0200;2024-09-22T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/thomas-croisiere/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/CC-P22-AFFICHE_VEC_TC_2023-430x430.jpg;Humour;
YANN TIERSEN;-;;2024-09-27T20:00:00+0200;2024-09-27T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/yann-tiersen/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/TIERSEN-Kerber-Complete-2024-CREDIT-RICHARD-DUMAS-1-430x430.jpg;Concert;
HALLOWEEN NIGHT Vol.4;-;;2024-10-31T20:00:00+0200;2024-10-31T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/halloween-night-vol-4/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/PETER-AND-THE-TEST-TUBES-BABIES-430x430.jpg;Concert;
JEAN-JACQUES VANIER;-;;2024-11-08T20:00:00+0200;2024-11-08T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/jean-jacques-vanier/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/jean-jacques-vanier-a-la-recherche-de-la-recherche-a-la-comedie-odeon-photo-xavier-cantat-1717349922-430x430.jpg;Humour;
MA FAMILLE EN OR;-;;2024-11-17T20:00:00+0200;2024-11-17T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/ma-famille-en-or/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/MA-FAMILLE-EN-OR-1-430x430.jpg;Théâtre;
LA BOULE;-;;2025-01-23T20:00:00+0200;2025-01-23T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/la-boule/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/25-0120-boule-01_C_jean-claude-leblanc-430x430.jpg;Cirque;
CHRISTOPHE ALEVEQUE;-;;2025-02-01T20:00:00+0200;2025-02-01T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/christophe-aleveque-2/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/aleveque-430x430.jpg;Humour;
GUILLAUME MEURICE & ERIC LAGADEC;-;;2025-02-07T20:00:00+0200;2025-02-07T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/guillaume-meurice-eric-lagadec/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/Vers-linfini-HD_page-0002-430x430.jpg;Humour;
TNT AC/DC TRIBUTE BAND;-;;2025-02-28T20:00:00+0200;2025-02-28T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/tnt-ac-dc-tribute-band/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/51195-tnt-ac-dc-tribute-band-en-concert-le-16-septembre-au-hall-comminges-de-colomiers-31.jpg-430x430.jpg;Concert;
FAADA FREDDY;-;;2025-03-29T20:00:00+0200;2025-03-29T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/faada-freddy/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/Faada-Freddy-CoverGoldenCages%E2%94%AC%C2%AEOmar-Victor-Diop-430x430.jpg;Concert;
BERENGERE KRIEF;-;;2025-04-04T20:00:00+0200;2025-04-04T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/berengere-krief/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/BK-SEXE-1080x1080-1-430x430.jpg;Humour;
ALEXANDRE KOMINEK;-;;2025-05-17T20:00:00+0200;2025-05-17T22:00:00+0200;1460026;https://www.cap-caval.fr/evenements/alexandre-kominek/;https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/WEB_BD_KOMINEK_AFFICHE_SPECTACLE-430x430.jpg;Humour;
