title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Apéro de rentrée bénévoles;-;;2024-09-05T18:30:00+0200;2024-09-05T20:30:00+0200;65307583;https://lenovomax.bzh/evenement/2007/;https://lenovomax.bzh/wp-content/uploads/2024/08/457255008-1239942310580254-232522072557461925-n-500x500.jpg;;
Forum des associations;-;;2024-09-07T20:00:00+0200;2024-09-07T22:00:00+0200;65307583;https://lenovomax.bzh/evenement/forum-des-associations/;https://lenovomax.bzh/wp-content/uploads/2024/08/457464741-521496007226792-3289919368246276454-n-500x500.jpg;;
Tous en fêTTTe !;-;;2024-09-15T20:00:00+0200;2024-09-15T22:00:00+0200;65307583;https://lenovomax.bzh/evenement/tous-en-fettte/;https://lenovomax.bzh/wp-content/uploads/2024/07/visuel-tous-en-fettte-web-500x500.png;Ouverture de saison Très Tôt Théâtre;
Adrian Sherwood;-;;2024-09-28T21:00:00+0200;2024-09-28T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/adrian-sherwood/;https://lenovomax.bzh/wp-content/uploads/2024/07/please-credit-harry-borden-500x500.jpg;Soirée dub;
Extrawelt;-;;2024-10-05T21:30:00+0200;2024-10-05T23:30:00+0200;65307583;https://lenovomax.bzh/evenement/soiree-electro-par-synchrone/;https://lenovomax.bzh/wp-content/uploads/2024/06/extrawelt-novomax-carre-insta-500x500.png;Soirée électro;
Kriill;-;;2024-10-19T21:00:00+0200;2024-10-19T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/kriill-middle-child/;https://lenovomax.bzh/wp-content/uploads/2024/06/david-dollman-kriill-2261-web-500x500.jpg;Concert pop indé;
Elysian Fields;-;;2024-10-26T21:00:00+0200;2024-10-26T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/elysian-fields-mediavolo/;https://lenovomax.bzh/wp-content/uploads/2024/07/elysianfieldsbymichaellavine-2382-500x500.jpg;Concerts rock / dream pop;
Papier tigre;-;;2024-11-02T21:00:00+0200;2024-11-02T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/papier-tigre-la-jungle/;https://lenovomax.bzh/wp-content/uploads/2024/07/pt-pic-1-jerome-blin-500x500.jpg;Concert rock / noise / transe;
Eesah Yasuke;-;;2024-11-09T21:00:00+0200;2024-11-09T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/eesah-yasuke/;https://lenovomax.bzh/wp-content/uploads/2024/08/2024-03-06-m-nicolle-10-500x500.jpg;Concert rap;
FINISTELLAIRE #4;-;;2024-11-15T20:00:00+0200;2024-11-15T22:00:00+0200;65307583;https://lenovomax.bzh/evenement/finistellaire-4/;https://lenovomax.bzh/wp-content/uploads/2024/08/affiche-validee-v2-500x500.jpg;Festival de littérature SFFF;
Faltazi;-;;2024-11-21T20:00:00+0200;2024-11-21T22:00:00+0200;65307583;https://lenovomax.bzh/evenement/faltazi/;https://lenovomax.bzh/wp-content/uploads/2024/07/faltazi-2024-500x500.png;Festival du film autoproduit;
Imparfait;-;;2024-11-29T21:00:00+0200;2024-11-29T23:00:00+0200;65307583;https://lenovomax.bzh/evenement/imparfait-kill-the-princess/;https://lenovomax.bzh/wp-content/uploads/2024/06/03-500x500.jpg;Concerts rock / métal alternatif;
CORNEMUSES 2024;-;;2024-12-07T10:00:00+0200;2024-12-07T12:00:00+0200;65307583;https://lenovomax.bzh/evenement/cornemuses-2024/;https://lenovomax.bzh/wp-content/uploads/2024/07/xx0190-500x500.jpg;Concours;
Le parfum de mes souvenirs;-;;2024-12-15T17:00:00+0200;2024-12-15T19:00:00+0200;65307583;https://lenovomax.bzh/evenement/tata-le-parfum-de-mes-souvenirs/;https://lenovomax.bzh/wp-content/uploads/2024/07/leparfum23commelair-500x500.jpg;Théâtre et objets - dès  7 ans;
Soleil Planète;-;;2024-12-21T20:00:00+0200;2024-12-21T22:00:00+0200;65307583;https://lenovomax.bzh/evenement/tata-soleil-planete/;https://lenovomax.bzh/wp-content/uploads/2024/07/soleil-planetekamil-f2213-500x500.jpg;Concert pop - dès  6 mois;
