title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Marche Bleue;Marche Bleue – Parcours Santé en centre-ville (14h00 > 17h00);;2024-09-30T14:00:00+0200;2024-09-30T17:00:00+0200;6421622;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Santé-Activ'sport;
Atelier prévention des chutes;Atelier prévention des chutes à Domitys (10h30 – 11h30);;2024-09-30T10:30:00+0200;2024-09-30T11:30:00+0200;17775871;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue;
Loto;Loto suivi d’un goûter crêpes à l’EHPAD Les Brisants (14h30 > 17h00);;2024-10-01T14:30:00+0200;2024-10-01T17:00:00+0200;86847551;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Blouses Roses-Fil d'Ariane;
Conférence sur la nutrition;Conférence sur la nutrition à Domitys (15h00 > 16h00);;2024-10-01T15:00:00+0200;2024-10-01T16:00:00+0200;17775871;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Nutrition;
Médiation équine;Médiation équine à Kergueres (10h30 > 11h30);;2024-10-02T10:30:00+0200;2024-10-02T11:30:00+0200;65137930;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Caval Satori;
Thé dansant;Thé dansant au CAC (14h00 > 17h30);;2024-10-02T14:00:00+0200;2024-10-02T17:30:00+0200;52474812;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleu-Espace PA/PH-Chiboudig;
Médiation équine;Médiation équine à Kergueres (10h30 > 11h30);;2024-10-03T10:30:00+0200;2024-10-03T11:00:00+0200;65137930;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Caval Satori;
Tournoi de Belote;Tournoi de Belote et goûter à Tiliz (14h00 > 17h30);;2024-10-03T14:00:00+0200;2024-10-03T17:30:00+0200;34179631;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Lanriec;
Thé dansant;Thé dansant à Domitys (14h30 > 17h30);;2024-10-04T14:30:00+0200;2024-10-04T17:30:00+0200;17775871;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue;
Olympiades;Les Olympiades au Cosec (10h00 > 17h00);;2024-10-04T10:00:00+0200;2024-10-04T17:00:00+0200;28567;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Activ'sport;
Chorale des Gabiers du Passage;Chorale des Gabiers du Passage suivie d’un goûter au CAC.;;2024-10-06T14:30:00+0200;2024-10-06T17:00:00+0200;52474812;https://www.concarneau.fr/evenements/la-semaine-bleue/;https://www.concarneau.fr/app/uploads/2024/08/semaine-bleue-ACTU-NS-2024-scaled.jpg;Semaine bleue-Clôture;
