title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
LE MISANTHROPE;MOLIÈRE, SIMON DELÉTANG;;2024-10-09T20:00:00+0200;2024-10-09T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/le-misanthrope-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg;Création-Théâtre;
LE MISANTHROPE;MOLIÈRE, SIMON DELÉTANG;;2024-10-10T20:00:00+0200;2024-10-10T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/le-misanthrope-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg;Création-Théâtre;
LE MISANTHROPE;MOLIÈRE, SIMON DELÉTANG;;2024-10-11T20:00:00+0200;2024-10-11T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/le-misanthrope-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg;Création-Théâtre;
LE MISANTHROPE;MOLIÈRE, SIMON DELÉTANG;;2024-10-15T20:00:00+0200;2024-10-15T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/le-misanthrope-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg;Création-Théâtre;
MALDONNE;LEÏLA KA;;2024-11-06T20:00:00+0200;2024-11-06T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/maldonne/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.33.54-300x200.png;Danse;
MALDONNE;LEÏLA KA;;2024-11-07T20:00:00+0200;2024-11-07T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/maldonne/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.33.54-300x200.png;Danse;
UN REQUIEM ALLEMAND;JOHANNES BRAHMS,  CHŒUR DE CHAMBRE MÉLISME(S);;2024-11-14T20:00:00+0200;2024-11-14T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/un-requiem-allemand/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.41.36-300x201.png;Musique;
CETTE NOTE QUI COMMENCE AU FOND DE MA GORGE;FABRICE MELQUIOT;;2024-11-20T20:00:00+0200;2024-11-20T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/cette-note-qui-commence-au-fond-de-ma-gorge/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.49.28-300x202.png;Musique-Théâtre;
CETTE NOTE QUI COMMENCE AU FOND DE MA GORGE;FABRICE MELQUIOT;;2024-11-21T20:00:00+0200;2024-11-21T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/cette-note-qui-commence-au-fond-de-ma-gorge/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.49.28-300x202.png;Musique-Théâtre;
ESCALE : LE THÉÂTRE PREND LA VOILE;-;;2024-11-23T20:00:00+0200;2024-11-23T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/escale-le-theatre-prend-la-voile/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/06/VOILE-300x212.png;Escale;
PEAU D’ÂNE – LA FÊTE EST FINIE;MARIE DILASSER , HÉLÈNE SOULIÉ, HÉLÈNE SOULIÉ;;2024-11-27T20:00:00+0200;2024-11-27T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/peau-dane-la-fete-est-finie/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.55.41-e1727177162885-300x181.png;Théâtre;
PEAU D’ÂNE – LA FÊTE EST FINIE;MARIE DILASSER , HÉLÈNE SOULIÉ, HÉLÈNE SOULIÉ;;2024-11-28T20:00:00+0200;2024-11-28T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/peau-dane-la-fete-est-finie/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.55.41-e1727177162885-300x181.png;Théâtre;
GRAND-PEUR ET MISÈRE DU IIIE REICH;BERTOLT BRECHT, PIERRE VESPERINI, JULIE DUCLOS;;2024-12-04T20:00:00+0200;2024-12-04T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/grand-peur-et-misere-du-iiie-reich/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.00.58-300x201.png;Coproduction-Théâtre;
GRAND-PEUR ET MISÈRE DU IIIE REICH;BERTOLT BRECHT, PIERRE VESPERINI, JULIE DUCLOS;;2024-12-05T20:00:00+0200;2024-12-05T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/grand-peur-et-misere-du-iiie-reich/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.00.58-300x201.png;Coproduction-Théâtre;
SUR L’AILE D’UN PAPILLON;EMMANUEL MEIRIEU;;2024-12-10T20:00:00+0200;2024-12-10T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/sur-laile-dun-papillon-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.11.47-300x201.png;Itinérance-Théâtre;
SUR L’AILE D’UN PAPILLON;EMMANUEL MEIRIEU;;2024-12-11T20:00:00+0200;2024-12-11T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/sur-laile-dun-papillon-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.11.47-300x201.png;Itinérance-Théâtre;
SUR L’AILE D’UN PAPILLON;EMMANUEL MEIRIEU;;2024-12-12T20:00:00+0200;2024-12-12T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/sur-laile-dun-papillon-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.11.47-300x201.png;Itinérance-Théâtre;
SUR L’AILE D’UN PAPILLON;EMMANUEL MEIRIEU;;2024-12-13T20:00:00+0200;2024-12-13T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/sur-laile-dun-papillon-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.11.47-300x201.png;Itinérance-Théâtre;
ESCALE IMPRO THÉÂTRE;-;;2024-12-14T20:00:00+0200;2024-12-14T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/escale-impro-theatre/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/06/IMPRO-300x212.png;Escale;
RETOURS;FREDRIK BRATTBERG, SIMON DELÉTANG;;2024-12-17T20:00:00+0200;2024-12-17T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/retours-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-06-25-a-10.03.56-300x200.png;Itinérance-Théâtre;
RETOURS;FREDRIK BRATTBERG, SIMON DELÉTANG;;2024-12-18T20:00:00+0200;2024-12-18T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/retours-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-06-25-a-10.03.56-300x200.png;Itinérance-Théâtre;
RETOURS;FREDRIK BRATTBERG, SIMON DELÉTANG;;2024-12-19T20:00:00+0200;2024-12-19T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/retours-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-06-25-a-10.03.56-300x200.png;Itinérance-Théâtre;
RETOURS;FREDRIK BRATTBERG, SIMON DELÉTANG;;2024-12-20T20:00:00+0200;2024-12-20T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/retours-2/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-06-25-a-10.03.56-300x200.png;Itinérance-Théâtre;
TRADITIONS !;ORCHESTRE NATIONAL DE BRETAGNE;;2024-12-21T20:00:00+0200;2024-12-21T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/traditions/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/%C2%A9-Laurent-Guizard-6A7A9705_avec-Julie-Boulianne-300x200.jpg;Musique;
STRANO;CIRQUE TROTTOLA, TITOUNE ET BONAVENTURE GACON;;2025-01-10T20:00:00+0200;2025-01-10T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/strano/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/438118757_946789987451858_7038637308911527580_n-300x224.jpg;Cirque-Coproduction;
STRANO;CIRQUE TROTTOLA, TITOUNE ET BONAVENTURE GACON;;2025-01-11T20:00:00+0200;2025-01-11T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/strano/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/438118757_946789987451858_7038637308911527580_n-300x224.jpg;Cirque-Coproduction;
STRANO;CIRQUE TROTTOLA, TITOUNE ET BONAVENTURE GACON;;2025-01-13T20:00:00+0200;2025-01-13T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/strano/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/438118757_946789987451858_7038637308911527580_n-300x224.jpg;Cirque-Coproduction;
STRANO;CIRQUE TROTTOLA, TITOUNE ET BONAVENTURE GACON;;2025-01-14T20:00:00+0200;2025-01-14T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/strano/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/438118757_946789987451858_7038637308911527580_n-300x224.jpg;Cirque-Coproduction;
PHÈDRE;JEAN RACINE, MATTHIEU CRUCIANI;;2025-01-22T20:00:00+0200;2025-01-22T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/phedre/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.32.44-300x200.png;Théâtre;
PHÈDRE;JEAN RACINE, MATTHIEU CRUCIANI;;2025-01-23T20:00:00+0200;2025-01-23T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/phedre/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.32.44-300x200.png;Théâtre;
ESCALE AVEC GUILLAUME GALLIENNE;-;;2025-01-25T20:00:00+0200;2025-01-25T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/escale-avec-guillaume-gallienne/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/06/GALIENNE-300x212.png;Escale;
FIDÉLITÉ(S), OU LA PANENKA DE HAKIMI;MONA EL YAFI, ALI ESMILI;;2025-01-28T20:00:00+0200;2025-01-28T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/fidelites-ou-la-panenka-de-hakimi/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.37.31-300x201.png;Création-Théâtre;
FIDÉLITÉ(S), OU LA PANENKA DE HAKIMI;MONA EL YAFI, ALI ESMILI;;2025-01-29T20:00:00+0200;2025-01-29T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/fidelites-ou-la-panenka-de-hakimi/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.37.31-300x201.png;Création-Théâtre;
FIDÉLITÉ(S), OU LA PANENKA DE HAKIMI;MONA EL YAFI, ALI ESMILI;;2025-01-30T20:00:00+0200;2025-01-30T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/fidelites-ou-la-panenka-de-hakimi/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.37.31-300x201.png;Création-Théâtre;
FIDÉLITÉ(S), OU LA PANENKA DE HAKIMI;MONA EL YAFI, ALI ESMILI;;2025-01-31T20:00:00+0200;2025-01-31T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/fidelites-ou-la-panenka-de-hakimi/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.37.31-300x201.png;Création-Théâtre;
BLACK LABEL;DAVID BOBÉE ET JOEYSTARR;;2025-02-03T20:00:00+0200;2025-02-03T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/black-label/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.41.38-300x200.png;Musique-Théâtre;
NOUS NE SOMMES PLUS…;TATIANA FROLOVA / KnAM THÉÂTRE, BLEUE ISAMBARD;;2025-02-05T20:00:00+0200;2025-02-05T22:00:00+0200;69566574;https://theatredelorient.fr/spectacle/nous-ne-sommes-plus/;https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-16.46.03-300x201.png;International-Théâtre;
