title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
PIERRE-EMMANUEL BARRÉ;HUMOUR ET ONE (WO)MAN SHOW - HUMOUR;PIERRE-EMMANUEL BARRÉ, CONCARNEAU, , 9 avril 2025;2025-04-09T19:00:00+0200;2025-04-09T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/pierre-emmanuel-barre-billet/idmanif/601572;https://www.ticketmaster.fr/statics/vignettes/n_pierre-emmanuel-barre_g.jpg;4ASS-32.00 €-Rire-Jaune;
SNIPER + 1res parties;CONCERT - RAP HIP-HOP SLAM;SNIPER + 1res parties, CONCARNEAU, , 18 octobre 2024;2024-10-18T19:00:00+0200;2024-10-18T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/sniper-1res-parties-billet/idmanif/595384;https://www.ticketmaster.fr/statics/vignettes/a_595384_g.jpg;4ASS-21.00 €-Rap;
MO' KALAMITY;CONCERT - REGGAE SKA DUB;MO' KALAMITY, CONCARNEAU, , 2 novembre 2024;2024-11-02T19:00:00+0200;2024-11-02T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/mo-kalamity-billet/idmanif/595370;https://www.ticketmaster.fr/statics/vignettes/a_595370_g.jpg;4ASS-15.00 €-Reggae;
VERANDA;CONCERT - BLUES COUNTRY;VERANDA, CONCARNEAU, , 21 novembre 2024;2024-11-21T19:00:00+0200;2024-11-21T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/veranda-billet/idmanif/595387;https://www.ticketmaster.fr/statics/vignettes/a_595387_g.jpg;4ASS-13.00 €-Blue-Country;
LE MALADE IMAGINAIRE;THEATRE - THEATRE CONTEMPORAIN;LE MALADE IMAGINAIRE, CONCARNEAU, , 29 novembre 2024;2024-11-29T19:00:00+0200;2024-11-29T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/le-malade-imaginaire-billet/idmanif/595369;https://www.ticketmaster.fr/statics/vignettes/a_595369_g.jpg;4ASS-13.00 €-Théâtre-Contemporain;
CHRISTIAN OLIVIER;CONCERT - VARIETE ET CHANSON FRANCAISE;CHRISTIAN OLIVIER, CONCARNEAU, , 6 décembre 2024;2024-12-06T19:00:00+0200;2024-12-06T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/christian-olivier-billet/idmanif/595365;https://www.ticketmaster.fr/statics/vignettes/a_595365_g.jpg;4ASS-15.00 €-Chanson-Française;
ALEX VIZOREK;HUMOUR ET ONE (WO)MAN SHOW - HUMOUR;ALEX VIZOREK, CONCARNEAU, , 15 décembre 2024;2024-12-15T19:00:00+0200;2024-12-15T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/alex-vizorek-billet/idmanif/595352;https://www.ticketmaster.fr/statics/vignettes/n_alex-vizorek_g.jpg;4ASS-21.00 €-Rire-C'est-Important;
PARPAING;THEATRE - THEATRE CONTEMPORAIN;PARPAING, CONCARNEAU, , 24 janvier 2025;2025-01-24T19:00:00+0200;2025-01-24T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/parpaing-billet/idmanif/595375;https://www.ticketmaster.fr/statics/vignettes/a_595375_g.jpg;4ASS-13.00 €-Béton-Passion;
POIL DE CAROTTE POIL DE CAROTTE;THEATRE - THEATRE CONTEMPORAIN;POIL DE CAROTTE POIL DE CAROTTE, CONCARNEAU, , 26 janvier 2025;2025-01-26T19:00:00+0200;2025-01-26T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/poil-de-carotte-poil-de-carotte-billet/idmanif/595363;https://www.ticketmaster.fr/statics/vignettes/a_595363_g.jpg;4ASS-13.00 €-Mangez-Des-Pommes;
BLØND AND BLÖND AND BLÓND;SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL;BLØND AND BLÖND AND BLÓND, CONCARNEAU, , 28 février 2025;2025-02-28T19:00:00+0200;2025-02-28T21:00:00+0200;52474812;https://www.ticketmaster.fr/fr/manifestation/bl-nd-and-blond-and-bl-nd-billet/idmanif/595360;https://www.ticketmaster.fr/statics/vignettes/a_595360_g.jpg;4ASS-21.00 €-Blondeur;
