title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
L’homme montagne;-;;2024-10-20T20:00:00+0200;2024-10-20T22:00:00+0200;33965846;https://www.quatreassetplus.fr/L-homme-montagne.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/44/384b407889a79f84f02ad03780d31a.png?1724882913;4ASS;
El maout;-;;2024-11-09T20:00:00+0200;2024-11-09T22:00:00+0200;33965846;https://www.quatreassetplus.fr/El-maout.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/34/e684d3aea41aee176992e57f22b3a3.jpg?1725037068;4ASS;
Emily LOIZEAU;-;;2025-01-18T20:00:00+0200;2025-01-18T22:00:00+0200;33965846;https://www.quatreassetplus.fr/Emily-LOIZEAU.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/e5/a5a6841b875d5bfb02ca6e99b6e604.jpg?1724954513;4ASS;
Titi tombe, Titi tombe pas;-;;2025-02-21T20:00:00+0200;2025-02-21T22:00:00+0200;33965846;https://www.quatreassetplus.fr/Titi-tombe-Titi-tombe-pas-716.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/47/60bc522f5129766d85cf69d2e4ab7f.png?1724954505;4ASS;
On disait qu’on faisait la fête;-;;2025-03-09T20:00:00+0200;2025-03-09T22:00:00+0200;33965846;https://www.quatreassetplus.fr/On-disait-qu-on-faisait-la-fete.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/46/94a8165b1d20d7a4db9456afa80d89.png?1725096420;4ASS;
Numéro Dys;-;;2025-03-16T20:00:00+0200;2025-03-16T22:00:00+0200;33965846;https://www.quatreassetplus.fr/Numero-Dys.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/a7/8d5df6999506048ba3c2c4685993a8.jpg?1725035024;4ASS;
JE SUIS TIGRE;-;;2025-03-30T20:00:00+0200;2025-03-30T22:00:00+0200;33965846;https://www.quatreassetplus.fr/JE-SUIS-TIGRE.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/a4/8a2c1c50977189caf5103880bb2718.png?1725036775;4ASS;
VIVALDI ET VENISE;-;;2025-05-18T20:00:00+0200;2025-05-18T22:00:00+0200;33965846;https://www.quatreassetplus.fr/VIVALDI-ET-VENISE.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/f1/2018c21d83fe08c171c895104777e2.png?1724936704;4ASS;
Celle qui oublie de scintiller;-;;2025-05-24T20:00:00+0200;2025-05-24T22:00:00+0200;33965846;https://www.quatreassetplus.fr/Celle-qui-oublie-de-scintiller-721.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/79/f9796b48c397917d06a06a93cabc67.jpg?1724906605;4ASS;
Soleil noir;-;;2025-06-20T20:00:00+0200;2025-06-20T22:00:00+0200;33965846;https://www.quatreassetplus.fr/Soleil-noir.html;https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/22/605cb51d8158d1c2a35e8d591f6341.png?1726560589;4ASS;
