title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Béliers de Kemper vs Levallois;https://nm1.ffbb.com/equipe/3-levallois-mbc;;2024-09-20T20:00:00+0200;2024-09-20T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790297-quimper-levallois-mbc;https://www.proballers.com/api/getTeamLogo?id=3&width=50;J2-Basket-UJAP-1984;
Béliers de Kemper vs Challans;https://nm1.ffbb.com/equipe/341-vendee-challans-basket;;2024-10-04T20:00:00+0200;2024-10-04T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790311-quimper-vendee-challans-basket;https://www.proballers.com/api/getTeamLogo?id=341&width=50;J4-Basket-UJAP-1984;
Béliers de Kemper vs Vitré;https://nm1.ffbb.com/equipe/269-aurore-de-vitre;;2024-10-11T20:00:00+0200;2024-10-11T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790325-quimper-aurore-de-vitre;https://www.proballers.com/api/getTeamLogo?id=269&width=50;J6-Basket-UJAP-1984;
Béliers de Kemper vs Angers;https://nm1.ffbb.com/equipe/33-angers;;2024-10-25T20:00:00+0200;2024-10-25T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790339-quimper-angers;https://www.proballers.com/api/getTeamLogo?id=33&width=50;J8-Basket-UJAP-1984;
Béliers de Kemper vs Toulouse;https://nm1.ffbb.com/equipe/1844-stade-toulousain-basketball;;2024-11-01T20:00:00+0200;2024-11-01T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790353-quimper-stade-toulousain-basketball;https://www.proballers.com/api/getTeamLogo?id=1844&width=50;J10-Basket-UJAP-1984;
Béliers de Kemper vs Tours;https://nm1.ffbb.com/equipe/13305-tours;;2024-11-09T20:00:00+0200;2024-11-09T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790367-quimper-tours;https://www.proballers.com/api/getTeamLogo?id=13305&width=50;J12-Basket-UJAP-1984;
Béliers de Kemper vs Pôle France;https://nm1.ffbb.com/equipe/256-pole-france;;2024-11-15T20:00:00+0200;2024-11-15T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790374-quimper-pole-france;https://www.proballers.com/api/getTeamLogo?id=256&width=50;J13-Basket-UJAP-1984;
Béliers de Kemper vs Tarbes-Lourdes;https://nm1.ffbb.com/equipe/2937-tarbes-lourdes;;2024-11-29T20:00:00+0200;2024-11-29T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790377-quimper-tarbes-lourdes;https://www.proballers.com/api/getTeamLogo?id=2937&width=50;J14-Basket-UJAP-1984;
Béliers de Kemper vs Poissy;https://nm1.ffbb.com/equipe/29-poissy;;2024-12-13T20:00:00+0200;2024-12-13T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790389-quimper-poissy;https://www.proballers.com/api/getTeamLogo?id=29&width=50;J16-Basket-UJAP-1984;
Béliers de Kemper vs Lorient;https://nm1.ffbb.com/equipe/247-cep-lorient;;2025-01-07T20:00:00+0200;2025-01-07T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790409-quimper-cep-lorient;https://www.proballers.com/api/getTeamLogo?id=247&width=50;J18-Basket-UJAP-1984;
Béliers de Kemper vs Pays de Fougères;https://nm1.ffbb.com/equipe/345-pays-de-fougeres;;2025-01-17T20:00:00+0200;2025-01-17T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790420-quimper-pays-de-fougeres;https://www.proballers.com/api/getTeamLogo?id=345&width=50;J20-Basket-UJAP-1984;
Béliers de Kemper vs Rennes;https://nm1.ffbb.com/equipe/1902-rennes;;2025-01-28T20:00:00+0200;2025-01-28T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790435-quimper-rennes;https://www.proballers.com/api/getTeamLogo?id=1902&width=50;J22-Basket-UJAP-1984;
Béliers de Kemper vs Les Sables d’Olonne;https://nm1.ffbb.com/equipe/14016-les-sables-vendee;;2025-02-04T20:00:00+0200;2025-02-04T22:00:00+0200;79968849;https://nm1.ffbb.com/match/790450-quimper-les-sables-vendee;https://www.proballers.com/api/getTeamLogo?id=14016&width=50;J24-Basket-UJAP-1984;
