title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Quimper Volley vs Bordeaux F;-;;2024-10-05T20:00:00+0200;2024-10-05T22:00:00+0200;20623325;https://www.flashscore.fr/match/MeImaY9t/#/resume-du-match;https://static.flashscore.com/res/image/data/jFVCfLRq-UVTRjfma.png;Volley;
Quimper Volley vs Mulhouse F;-;;2024-10-19T20:00:00+0200;2024-10-19T22:00:00+0200;20623325;https://www.flashscore.fr/match/4Mt8DOUj/#/resume-du-match;https://static.flashscore.com/res/image/data/pb4qCqhT-8zvzV4EE.png;Volley;
Quimper Volley vs Vandoeuvre Nancy F;-;;2024-10-26T20:00:00+0200;2024-10-26T22:00:00+0200;20623325;https://www.flashscore.fr/match/vymsSr1s/#/resume-du-match;https://static.flashscore.com/res/image/data/AHCQklQq-2PyyqJnK.png;Volley;
Quimper Volley vs Levallois Paris SC F;-;;2024-11-02T20:00:00+0200;2024-11-02T22:00:00+0200;20623325;https://www.flashscore.fr/match/zcwtZHEO/#/resume-du-match;https://static.flashscore.com/res/image/data/hrBXt7oe-WdTZ02TO.png;Volley;
Quimper Volley vs Terville Florange F;-;;2024-11-16T20:00:00+0200;2024-11-16T22:00:00+0200;20623325;https://www.flashscore.fr/match/W48CfPt2/#/resume-du-match;https://static.flashscore.com/res/image/data/tt6fcE5k-YPVMw8Lc.png;Volley;
Quimper Volley vs Chamalières F;-;;2024-12-07T20:00:00+0200;2024-12-07T22:00:00+0200;20623325;https://www.flashscore.fr/match/KnrnYVUN/#/resume-du-match;https://static.flashscore.com/res/image/data/rZrFH8VH-Wvpp23pa.png;Volley;
Quimper Volley vs Marcq-en-Barœul F;-;;2024-12-14T20:00:00+0200;2024-12-14T22:00:00+0200;20623325;https://www.flashscore.fr/match/fw8dw9M9/#/resume-du-match;https://static.flashscore.com/res/image/data/GU4ZEljC-0YzdcTbG.png;Volley;
Quimper Volley vs RC Cannes F;-;;2024-12-29T20:00:00+0200;2024-12-29T22:00:00+0200;20623325;https://www.flashscore.fr/match/8rwfre46/#/resume-du-match;https://static.flashscore.com/res/image/data/pAxCRwA6-YPVMw8Lc.png;Volley;
Quimper Volley vs Le Cannet F;-;;2025-01-18T20:00:00+0200;2025-01-18T22:00:00+0200;20623325;https://www.flashscore.fr/match/GnBDPqg3/#/resume-du-match;https://static.flashscore.com/res/image/data/Ucgr01AN-K61S6nf6.png;Volley;
Quimper Volley vs Béziers F;-;;2025-02-08T20:00:00+0200;2025-02-08T22:00:00+0200;20623325;https://www.flashscore.fr/match/Y7HPuH0b/#/resume-du-match;https://static.flashscore.com/res/image/data/6yYLEi5k-n1sH02GH.png;Volley;
Quimper Volley vs Nantes F;-;;2025-02-22T20:00:00+0200;2025-02-22T22:00:00+0200;20623325;https://www.flashscore.fr/match/tSaOHADF/#/resume-du-match;https://static.flashscore.com/res/image/data/EoW9oZne-nXsuseHU.png;Volley;
Quimper Volley vs Pays d'Aix Venelles F;-;;2025-03-08T20:00:00+0200;2025-03-08T22:00:00+0200;20623325;https://www.flashscore.fr/match/t8ynuvBt/#/resume-du-match;https://static.flashscore.com/res/image/data/ngstUole-YPVMw8Lc.png;Volley;
Quimper Volley vs France Avenir 2024 F;-;;2025-03-22T20:00:00+0200;2025-03-22T22:00:00+0200;20623325;https://www.flashscore.fr/match/ANqC2Y84/#/resume-du-match;https://static.flashscore.com/res/image/data/KGdQf6R0-YPVMw8Lc.png;Volley;
