"grid-item href","dates","cat-ev","contenu","contenu 2","buy-see 2","buy-see href 2"
"https://archipel.ville-fouesnant.fr/agenda/fort-cigogne-beautes-et-gestes/","Du 2 septembre au 28 septembre 2024","Exposition","Fort Cigogne, beautés et gestes","Emmanuel Delandre","",""
"https://archipel.ville-fouesnant.fr/agenda/ouverture-des-inscriptions-aux-animations-de-la-mediatheque-5/","samedi 7 septembre 2024","","Ouverture des inscriptions aux animations de la Médiathèque","Première partie de la saison 2024-2025","",""
"https://archipel.ville-fouesnant.fr/agenda/visite-guidee/","vendredi 13 septembre 2024","Rencontre","Visite guidée","de l'exposition Fort Cigogne, beautés et gestes","",""
"https://archipel.ville-fouesnant.fr/agenda/vernissage/","vendredi 13 septembre 2024","Rencontre","Vernissage","de l'exposition Fort Cigogne, beautés et gestes","",""
"https://archipel.ville-fouesnant.fr/agenda/construire-une-image-photographique/","samedi 14 septembre 2024","Atelier","Construire une image photographique","Stage avec Emmanuel Delandre","",""
"https://archipel.ville-fouesnant.fr/agenda/dedicaces-de-pierre-antoine-guillotel/","samedi 21 septembre 2024","Dédicace","Dédicaces de Pierre-Antoine Guillotel","Island, L’appel du 66° Nord","",""
"https://archipel.ville-fouesnant.fr/agenda/lhistoire-du-cor-a-travers-les-ages/","mardi 1 octobre 2024","Conférence","L’histoire du cor à travers les âges","Le coin de l'oreille #1","",""
"https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-1/","mercredi 2 octobre 2024","Club","Club de lecture #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines/","vendredi 4 octobre 2024","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/broadway-rhapsody/","samedi 5 octobre 2024","Musique","Broadway Rhapsody","Cyrille Dubois et l’Ensemble ArteCombo | Jean-Michel Fournereau","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=812"
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-1/","samedi 5 octobre 2024","Les animations pour les tout-petits","Bébé-lecteurs #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-2/","samedi 5 octobre 2024","Les animations pour les tout-petits","Bébé-lecteurs #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-dys-trucs-et-astuces-1/","samedi 5 octobre 2024","Rencontre","Café-DYS, trucs et astuces #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/atelier-2tonnes-1/","samedi 5 octobre 2024","Atelier","Atelier 2tonnes #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/morsure-4/","Du 5 octobre au 21 décembre 2024","Exposition","Morsure #4","Estampes","",""
"https://archipel.ville-fouesnant.fr/agenda/week-end-douverture-de-morsure/","Du 5 octobre au 6 octobre 2024","Exposition","Week-end d’ouverture de Morsure","Visites, ateliers, rencontres...","",""
"https://archipel.ville-fouesnant.fr/agenda/track-1/","mardi 8 octobre 2024","Musique","TRACK #1","Cie La Boîte à sel | Céline Garnavault et Thomas Sillard","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813"
"https://archipel.ville-fouesnant.fr/agenda/track-2/","mardi 8 octobre 2024","Musique","TRACK #2","Cie La Boîte à sel | Céline Garnavault et Thomas Sillard","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813"
"https://archipel.ville-fouesnant.fr/agenda/track-3/","mercredi 9 octobre 2024","Musique","TRACK #3","Cie La Boîte à sel | Céline Garnavault et Thomas Sillard","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813"
"https://archipel.ville-fouesnant.fr/agenda/track-4/","mercredi 9 octobre 2024","Musique","TRACK #4","Cie La Boîte à sel | Céline Garnavault et Thomas Sillard","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813"
"https://archipel.ville-fouesnant.fr/agenda/laurent-bardainne-tigre-deau-douce/","vendredi 11 octobre 2024","Musique","Laurent Bardainne & Tigre d’Eau Douce","Eden Beach Club","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=814"
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-son-1/","samedi 12 octobre 2024","Atelier","Yoga du son #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-1/","samedi 12 octobre 2024","Conversation","Café Carbone #1","","",""
