img;date;title;desc
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i67f33dcadb018b4b/version/1716372498/mirage-un-jour-de-f%C3%AAte.png;Mar.27/08 et Mer.28/08;Mirage (un jour de fête);Des grillages et des barbelés, des tôles rouillées sur le toit des habitations, des drapeaux suspendus, des pas qui frappent le sol avec force et élégance, tête haute, vêtements colorés, soigneusement ajustés... C’est l’image tout à la fois irréelle, absurde et magique du camp de réfugiés de Balata en Cisjordanie qui a librement inspiré la création de cette pièce chorégraphiée.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i140d6eb0e6c487d7/version/1716393692/caillasse.png;Mer.28/08 et Jeu.29/08;Caillasse;Un prisonnier rêve de s’évader. Il joue, invente un ami et une langue imaginaire. Le souvenir mélancolique des chants révolutionnaires et d’un monde meilleur lui remonte à la tête. Pris entre cauchemar et réalité, au fond de sa cellule, il revit son passé.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i52f7abf6b382dab5/version/1716398916/entre-le-zist-et-le-geste.png;Mer.28/08 et Jeu.29/08;Entre le Zist et le Geste;Le décor est planté, un tissu noir matérialise les coulisses, deux personnages cachés derrière le lâchent pour se dévoiler au public, le spectacle commence... Les deux circassiens entrent en piste, ils viennent faire leur numéro de portés acrobatiques, mais un doute s'invite dans leur enchaînement bien huilé entraînant une succession de malentendus… Ce dernier se transforme alors en un spectacle loufoque. Pris par la nécessité de le continuer, le duo se prend au jeu, invente, dérive...
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i750d990ee0d82367/version/1716811619/pourquoi-rom%C3%A9o-n-a-t-il-pas-fini-chez-midas.png;Mer.28/08 et Jeu.29/08;Pourquoi Roméo n’a-t-il pas fini chez Midas ?;La Compagnie du Deuxième propose de jouer du théâtre « classique » dans la rue, du Shakespeare plus précisément, tout comme il l’aurait peut-être fait à son époque… Mais avec des accessoires encombrants, des costumes mal ajustés, une Juliette à fleur de peau et un Roméo complètement dépassé, tout peut arriver !
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/iae8370a8473a2edb/version/1716450609/%C3%A0-l-ouest.png;ven.30/08 et sam.31/08;À l'Ouest;"Pétrole est un clown qui rend hommage à toute personne qui se sent exclue ou laissée pour compte. À travers sa sensibilité et son regard particulier, il nous questionne sur la place de chacun et sur notre rapport au monde. 
Dans À l'Ouest, nous glissons et digressons avec lui sur les thèmes du jeu d'acteur, du western, de la domination patriarcale et de la conquête des territoires. Pétrole nous invite à partager avec lui un moment dérobé à l'espace et au temps, ..."
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i4d095f56d2598c83/version/1716465101/gagarine-is-not-dead.png;ven.30/08 et sam.31/08;Gagarine is not dead;Sur le pas de tir, un équipage de cosmonautes peu commun s’apprête à écrire une nouvelle page de la conquête spatiale. Les quatre aventuriers rêvent d’apesanteur et leur émotion est palpable. En hommage à celui qui les a tant inspirés, ils vont le faire ! Un dernier au revoir pour un premier vol amateur. Les planètes sont alignées, les trajectoires sont validées, le compte à rebours est lancé, mais pourvu que les soudures tiennent…
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i1ccb68393b1ccdeb/version/1716476618/apocalypse.png;ven.30/08 et sam.31/08;Apocalypse;Chères êtres vivantes, bienvenue en 2074, dans un monde où l’écologie a enfin gagné, où les notions de propriété n’existent plus et où le féminin l’emporte sur le masculin ! Après un acte manqué de peu au Festival Les Rias l’année dernière, la compagnie Marzouk Machine relance son invitation à célébrer les 50 ans de l’Apocalypse. Nous sommes attendus pour ce jour de fête !
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i07e6704c9b59865b/version/1716757514/les-mis%C3%A9rables.png;ven.30/08 et sam.31/08;Les Misérables;Raconter une histoire aussi triste et sombre que Les Misérables de Victor Hugo maintenant, est-ce une bonne idée ? Les destins dramatiques et entrelacés de Jean Valjean, Fantine, Cosette, Javert, Thénardier, Marius et compagnie ont-ils vraiment des choses à nous dire près de deux siècles plus tard ?
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i291d9a19cb9b1070/version/1716757757/tant-bien-que-mal.png;ven.30/08 et sam.31/08;Tant bien que mal;Les Reimmors viennent de perdre l'un des leurs. Si l'annonce est brutale pour cette famille unie, les réactions diffèrent : le père se cache derrière ses sentiments pendant que la mère se cache derrière un drap... Les enfants, eux, font honneur au défunt faisant vibrer souvenirs, hommages sincères et blagues douteuses. Dans cet élan, les idées de Socrate, Natasha St-Pier et Damasio s'entrechoquent.
https://image.jimcdn.com/app/cms/image/transf/none/path/sfabdd73269babca7/image/i1f704317b6fbde6d/version/1716757997/temp%C3%AAte.png;ven.30/08 et sam.31/08;Tempête;"Chassée du pouvoir par son frère Antonio, la duchesse de Milan et puissante magicienne Prospéro est exilée avec sa fille Miranda sur une île mystérieuse peuplée de créatures surnaturelles. Pour se venger et mettre un terme à son exil, Prospéro invoque Ariel, un esprit de l’air, et provoque le naufrage du navire sur lequel Antonio a embarqué avec différents membres de la famille. 
Quand le Collectif du Prélude démonte La Tempête de Shakespeare, ..."
