title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Grande marée (Haute);Haute;5.18;2024-09-18 05:28:00;2024-09-18 05:29:00;95821135;https://www.maree.info/93?d=20240918;;105;
Grande marée (Basse);Basse;0.57;2024-09-18 11:34:00;2024-09-18 11:35:00;95821135;https://www.maree.info/93?d=20240918;;105;
Grande marée (Haute);Haute;5.58;2024-09-18 17:44:00;2024-09-18 17:45:00;95821135;https://www.maree.info/93?d=20240918;;110;
Grande marée (Basse);Basse;0.35;2024-09-18 23:58:00;2024-09-18 23:59:00;95821135;https://www.maree.info/93?d=20240918;;110;
Grande marée (Haute);Haute;5.35;2024-09-19 06:07:00;2024-09-19 06:08:00;95821135;https://www.maree.info/93?d=20240919;;113;
Grande marée (Basse);Basse;0.39;2024-09-19 12:16:00;2024-09-19 12:17:00;95821135;https://www.maree.info/93?d=20240919;;113;
Grande marée (Haute);Haute;5.66;2024-09-19 18:25:00;2024-09-19 18:26:00;95821135;https://www.maree.info/93?d=20240919;;115;
Grande marée (Basse);Basse;0.32;2024-09-20 00:39:00;2024-09-20 00:40:00;95821135;https://www.maree.info/93?d=20240920;;115;
Grande marée (Haute);Haute;5.37;2024-09-20 06:45:00;2024-09-20 06:46:00;95821135;https://www.maree.info/93?d=20240920;;114;
Grande marée (Basse);Basse;0.39;2024-09-20 12:59:00;2024-09-20 13:00:00;95821135;https://www.maree.info/93?d=20240920;;114;
Grande marée (Haute);Haute;5.55;2024-09-20 19:06:00;2024-09-20 19:07:00;95821135;https://www.maree.info/93?d=20240920;;112;
Grande marée (Basse);Basse;0.46;2024-09-21 01:21:00;2024-09-21 01:22:00;95821135;https://www.maree.info/93?d=20240921;;112;
Grande marée (Haute);Haute;5.24;2024-09-21 07:23:00;2024-09-21 07:24:00;95821135;https://www.maree.info/93?d=20240921;;108;
Grande marée (Basse);Basse;0.57;2024-09-21 13:43:00;2024-09-21 13:44:00;95821135;https://www.maree.info/93?d=20240921;;108;
Grande marée (Haute);Haute;5.26;2024-09-21 19:48:00;2024-09-21 19:49:00;95821135;https://www.maree.info/93?d=20240921;;102;
Grande marée (Basse);Basse;0.77;2024-09-22 02:04:00;2024-09-22 02:05:00;95821135;https://www.maree.info/93?d=20240922;;102;
Grande marée (Haute);Haute;5.38;2024-10-16 16:38:00;2024-10-16 16:39:00;95821135;https://www.maree.info/93?d=20241016;;101;
Grande marée (Basse);Basse;0.57;2024-10-16 22:49:00;2024-10-16 22:50:00;95821135;https://www.maree.info/93?d=20241016;;101;
Grande marée (Haute);Haute;5.26;2024-10-17 05:00:00;2024-10-17 05:01:00;95821135;https://www.maree.info/93?d=20241017;;107;
Grande marée (Basse);Basse;0.57;2024-10-17 11:09:00;2024-10-17 11:10:00;95821135;https://www.maree.info/93?d=20241017;;107;
Grande marée (Haute);Haute;5.57;2024-10-17 17:20:00;2024-10-17 17:21:00;95821135;https://www.maree.info/93?d=20241017;;110;
Grande marée (Basse);Basse;0.43;2024-10-17 23:31:00;2024-10-17 23:32:00;95821135;https://www.maree.info/93?d=20241017;;110;
Grande marée (Haute);Haute;5.4;2024-10-18 05:40:00;2024-10-18 05:41:00;95821135;https://www.maree.info/93?d=20241018;;112;
Grande marée (Basse);Basse;0.45;2024-10-18 11:53:00;2024-10-18 11:54:00;95821135;https://www.maree.info/93?d=20241018;;112;
Grande marée (Haute);Haute;5.58;2024-10-18 18:02:00;2024-10-18 18:03:00;95821135;https://www.maree.info/93?d=20241018;;112;
Grande marée (Basse);Basse;0.46;2024-10-19 00:14:00;2024-10-19 00:15:00;95821135;https://www.maree.info/93?d=20241019;;112;
Grande marée (Haute);Haute;5.39;2024-10-19 06:19:00;2024-10-19 06:20:00;95821135;https://www.maree.info/93?d=20241019;;111;
Grande marée (Basse);Basse;0.49;2024-10-19 12:38:00;2024-10-19 12:39:00;95821135;https://www.maree.info/93?d=20241019;;111;
Grande marée (Haute);Haute;5.42;2024-10-19 18:44:00;2024-10-19 18:45:00;95821135;https://www.maree.info/93?d=20241019;;108;
Grande marée (Basse);Basse;0.65;2024-10-20 00:57:00;2024-10-20 00:58:00;95821135;https://www.maree.info/93?d=20241020;;108;
Grande marée (Haute);Haute;5.25;2024-10-20 06:59:00;2024-10-20 07:00:00;95821135;https://www.maree.info/93?d=20241020;;103;
Grande marée (Basse);Basse;0.7;2024-10-20 13:23:00;2024-10-20 13:24:00;95821135;https://www.maree.info/93?d=20241020;;103;
Grande marée (Haute);Haute;5.33;2024-11-15 16:00:00;2024-11-15 16:01:00;95821135;https://www.maree.info/93?d=20241115;;101;
Grande marée (Basse);Basse;0.75;2024-11-15 22:08:00;2024-11-15 22:09:00;95821135;https://www.maree.info/93?d=20241115;;101;
Grande marée (Haute);Haute;5.28;2024-11-16 04:18:00;2024-11-16 04:19:00;95821135;https://www.maree.info/93?d=20241116;;102;
Grande marée (Basse);Basse;0.72;2024-11-16 10:34:00;2024-11-16 10:35:00;95821135;https://www.maree.info/93?d=20241116;;102;
Grande marée (Haute);Haute;5.31;2024-11-16 16:45:00;2024-11-16 16:46:00;95821135;https://www.maree.info/93?d=20241116;;102;
Grande marée (Basse);Basse;0.79;2024-11-16 22:53:00;2024-11-16 22:54:00;95821135;https://www.maree.info/93?d=20241116;;102;
Grande marée (Haute);Haute;5.28;2024-11-17 05:00:00;2024-11-17 05:01:00;95821135;https://www.maree.info/93?d=20241117;;101;
Grande marée (Basse);Basse;0.76;2024-11-17 11:22:00;2024-11-17 11:23:00;95821135;https://www.maree.info/93?d=20241117;;101;
