title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Distro;Cie C’hoari;;2024-09-27T19:00:00+0200;2024-09-27T21:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/distro-cie-choari-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03153330/24-0927-distro-01_C_joel-alice-le-quellec-680x680.jpg?date=142275;Danse;Parvis du Théâtre de Cornouaille
Vers les Métamorphoses;Étienne Saglio / Monstre(s);;2024-10-01T20:00:00+0200;2024-10-01T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/vers-les-metamorphoses-etienne-saglio-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03155518/24-1001-metamorphoses-01_C_benjamin-guillement-680x680.jpg?date=77378;Théâtre/Magie;Théâtre de Cornouaille
Vers les Métamorphoses;Étienne Saglio / Monstre(s);;2024-10-03T20:00:00+0200;2024-10-03T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/vers-les-metamorphoses-etienne-saglio-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03155518/24-1001-metamorphoses-01_C_benjamin-guillement-680x680.jpg?date=77378;Théâtre/Magie;Théâtre de Cornouaille
Comment créer du nouveau?;Claire Marin;;2024-10-04T19:00:00+0200;2024-10-04T21:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/conference-claire-marin-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160459/24-1007-claire-marin-01_C_celine-nieszawer-flammarion-680x680.jpg?date=94123;Conférence;Théâtre de Cornouaille - L'Atelier
Clara Ysé;Oceano Nox;;2024-10-05T20:00:00+0200;2024-10-05T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/clara-yse-oceano-nox-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03155724/24-1005-clara-yse-04_C_olivier-metzger-680x680.jpg?date=134667;Musique/Chanson;Théâtre de Cornouaille
Grand-peur et misère du IIIe Reich;Bertolt Brecht / Julie Duclos;;2024-10-09T20:00:00+0200;2024-10-09T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/grand-peur-et-misere-du-iiie-reich-bertolt-brecht-julie-duclos-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160629/24-1009-grand-peur-02_C_simon-gosselin-680x680.jpg?date=62470;Théâtre;Théâtre de Cornouaille
Grand-peur et misère du IIIe Reich;Bertolt Brecht / Julie Duclos;;2024-10-10T20:00:00+0200;2024-10-10T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/grand-peur-et-misere-du-iiie-reich-bertolt-brecht-julie-duclos-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160629/24-1009-grand-peur-02_C_simon-gosselin-680x680.jpg?date=62470;Théâtre;Théâtre de Cornouaille
Stage de manipulation marionnettes;Autour de L’Oiseau de Pométhée;;2024-10-12T10:00:00+0200;2024-10-12T12:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/stage-de-manipulation-marionnettes-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/07122656/24-1018-oiseau-promethee-10_C_vincent-muteau-680x680.jpg?date=88349;Stage;Théâtre de Cornouaille
Anne Paceo;S.H.A.M.A.N.E.S;;2024-10-12T20:00:00+0200;2024-10-12T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/anne-paceo-s-h-a-m-a-n-e-s-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160736/24-1012-anne-paceo-01_C_sylvain-gripoix-680x680.jpg?date=100613;Musique/Jazz;Théâtre de Cornouaille
Rencontre avec André Markowicz;En lien avec Macbeth.;;2024-10-14T19:00:00+0200;2024-10-14T21:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/rencontre-conference-andre-markowicz-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/24114322/andre-markowicz_C_francoise-morvan-680.jpg;Conférence;Théâtre de Cornouaille
L’Abécédaire musical;Jeanne Bleuse – Julian Boutin / Cie La Vagabonde;;2024-10-14T20:00:00+0200;2024-10-14T22:00:00+0200;11634941;https://www.theatre-cornouaille.fr/projects/labecedaire-musical-jeanne-bleuse-julian-boutin-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160858/24-1014-abcd-01_C_jean-pierre-dupraz-680x680.jpg?date=117050;Musique;Divers lieux
L’Abécédaire musical;Jeanne Bleuse – Julian Boutin / Cie La Vagabonde;;2024-10-17T20:00:00+0200;2024-10-17T22:00:00+0200;11634941;https://www.theatre-cornouaille.fr/projects/labecedaire-musical-jeanne-bleuse-julian-boutin-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03160858/24-1014-abcd-01_C_jean-pierre-dupraz-680x680.jpg?date=117050;Musique;Divers lieux
L’Oiseau de Prométhée;Camille Trouvé – Brice Berthoud / Les Anges au Plafond;;2024-10-16T20:00:00+0200;2024-10-16T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/loiseau-de-promethee-les-anges-au-plafond-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161144/24-1018-oiseau-promethee-15_C_vincent-muteau-680x680.jpg?date=183920;Théâtre;Théâtre de Cornouaille
L’Oiseau de Prométhée;Camille Trouvé – Brice Berthoud / Les Anges au Plafond;;2024-10-17T20:00:00+0200;2024-10-17T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/loiseau-de-promethee-les-anges-au-plafond-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161144/24-1018-oiseau-promethee-15_C_vincent-muteau-680x680.jpg?date=183920;Théâtre;Théâtre de Cornouaille
Macbeth;William Shakespeare / David Gauchard;;2024-11-05T20:00:00+0200;2024-11-05T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/macbeth-shakespeare-david-gauchard-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161306/24-1105-macbeth-01_C_gildas-raffanel-dan-ramaen-benjamin-le-bellec-680x680.jpg?date=111160;Théâtre;Théâtre de Cornouaille
Macbeth;William Shakespeare / David Gauchard;;2024-11-07T20:00:00+0200;2024-11-07T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/macbeth-shakespeare-david-gauchard-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161306/24-1105-macbeth-01_C_gildas-raffanel-dan-ramaen-benjamin-le-bellec-680x680.jpg?date=111160;Théâtre;Théâtre de Cornouaille
Artisans de musique;En amont du concert de l’Orchestre National de Bretagne;;2024-11-12T18:00:00+0200;2024-11-12T20:00:00+0200;11634941;https://www.theatre-cornouaille.fr/projects/artisans-de-musique-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2023/06/16102758/artisans-musique-WEB-680x680.jpg?date=107219;Exposition;
The Way;Skoryk / Chopin / Frolyak / Beethoven;;2024-11-12T20:00:00+0200;2024-11-12T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/the-way-orchestre-national-de-bretagne-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161442/24-1112-concert-ukraine-01-anna-fedorova_C_classic360.fr_-680x680.jpg?date=78624;Musique;Théâtre de Cornouaille
TAO Dance Theater;13 & 14 / Tao Ye;;2024-11-15T20:00:00+0200;2024-11-15T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/tao-dance-theater-tao-ye-13-14-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/03161725/24-1115-tao-ye-12-14_C_duan-ni-680x680.jpg?date=92060;Danse;Théâtre de Cornouaille
