"data-date","data-home","attachment-sportspress-fit-mini src","data-time","data-away","attachment-sportspress-fit-mini src 2"
"16 août 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","2 - 0","Paris 13 Atletico","https://www.usc-concarneau.com/wp-content/uploads/2024/08/paris_13_atletico-32x32.png"
"23 août 2024","ASNL","https://www.usc-concarneau.com/wp-content/uploads/2022/06/1200px-Logo_AS_Nancy_Lorraine_2018.svg-27x32.png","3 - 0","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
"30 août 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","0 - 0","aubagne","https://www.usc-concarneau.com/wp-content/uploads/2024/08/aubagne_logo-27x32.png"
"6 septembre 2024","Orléans","https://www.usc-concarneau.com/wp-content/uploads/2020/08/US-ORLEANS-CMJN-26x32.png","2 - 3","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
"13 septembre 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","1 - 0","nimes","https://www.usc-concarneau.com/wp-content/uploads/2024/08/logo_nimes-32x32.png"
"20 septembre 2024","Valenciennes FC","https://www.usc-concarneau.com/wp-content/uploads/2023/09/logo-VAFC-new-30x32.png","3 - 3","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
"27 septembre 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","19:30","Rouen","https://www.usc-concarneau.com/wp-content/uploads/2024/08/FCROUEN-26x32.png"
"4 octobre 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","19:30","LB Châteauroux","https://www.usc-concarneau.com/wp-content/uploads/2017/08/1200px-Logo_Berrichonne_Cha%CC%82teauroux_2017.svg-32x32.png"
"18 octobre 2024","FC Versailles 78","https://www.usc-concarneau.com/wp-content/uploads/2022/08/Logo_FC_Versailles_-_2022.svg-32x32.png","19:30","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
"23 octobre 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","19:30","FC Villefranche","https://www.usc-concarneau.com/wp-content/uploads/2018/07/950px-Logo_FC_Villefranche_Beaujolais_2015.svg-30x32.png"
"1 novembre 2024","Sochaux","https://www.usc-concarneau.com/wp-content/uploads/2024/08/logo_sochaux-24x32.png","19:30","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
"8 novembre 2024","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png","19:30","Dijon","https://www.usc-concarneau.com/wp-content/uploads/2024/08/dijon_logo-29x32.png"
"22 novembre 2024","Boulogne s/ Mer","https://www.usc-concarneau.com/wp-content/uploads/2017/05/BoulogneSurMer-32x32.png","19:30","Concarneau","https://www.usc-concarneau.com/wp-content/uploads/2017/08/LOGO_USC_2017-32x30.png"
