title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name;book_link
Ouverture des inscriptions aux animations de la Médiathèque;Première partie de la saison 2024-2025;;2024-09-07T20:00:00+0200;2024-09-07T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ouverture-des-inscriptions-aux-animations-de-la-mediatheque-5/;;;;
Dédicaces de Pierre-Antoine Guillotel;Island, L’appel du 66° Nord;;2024-09-21T20:00:00+0200;2024-09-21T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/dedicaces-de-pierre-antoine-guillotel/;;Dédicace;;
L’histoire du cor à travers les âges;Le coin de l'oreille #1;;2024-10-01T20:00:00+0200;2024-10-01T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/lhistoire-du-cor-a-travers-les-ages/;;Conférence;;
Ensachage de graines;Vie de la Grainothèque;;2024-10-04T20:00:00+0200;2024-10-04T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines/;;Participation;;
Broadway Rhapsody;Cyrille Dubois et l’Ensemble ArteCombo | Jean-Michel Fournereau;;2024-10-05T20:00:00+0200;2024-10-05T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/broadway-rhapsody/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=812
TRACK #1;Cie La Boîte à sel | Céline Garnavault et Thomas Sillard;;2024-10-08T20:00:00+0200;2024-10-08T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/track-1/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813
TRACK #2;Cie La Boîte à sel | Céline Garnavault et Thomas Sillard;;2024-10-08T20:00:00+0200;2024-10-08T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/track-2/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813
TRACK #3;Cie La Boîte à sel | Céline Garnavault et Thomas Sillard;;2024-10-09T20:00:00+0200;2024-10-09T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/track-3/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813
TRACK #4;Cie La Boîte à sel | Céline Garnavault et Thomas Sillard;;2024-10-09T20:00:00+0200;2024-10-09T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/track-4/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=813
Laurent Bardainne & Tigre d’Eau Douce;Eden Beach Club;;2024-10-11T20:00:00+0200;2024-10-11T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/laurent-bardainne-tigre-deau-douce/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=814
Café Astro #1;À la recherche des océans dans le système solaire et au-delà;;2024-10-15T20:00:00+0200;2024-10-15T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/cafe-astro-1/;;Conférence;;
À voix haute #1;Les essentielles;;2024-10-16T20:00:00+0200;2024-10-16T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-1/;;Lecture;;
L’homme d’habitude;Les Blérots de R.A.V.E.L. & la Cie Vilcanota - Bruno Pradet;;2024-10-17T20:00:00+0200;2024-10-17T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/lhomme-dhabitude/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=815
Club ciné #1;;;2024-10-18T20:00:00+0200;2024-10-18T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/club-cine-1/;;Projection;;
La basse à voix haute;En showcase;;2024-10-19T20:00:00+0200;2024-10-19T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/la-basse-a-voix-haute/;;Showcase;;
Aprem’ jeux #1;;;2024-10-30T20:00:00+0200;2024-10-30T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-1/;;Jeu;;
Les essentielles;Faustine Noguès;;2024-11-07T20:00:00+0200;2024-11-07T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/les-essentielles/;;Théâtre;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=816
Un petit déjeuner avec Faustine Noguès;autour du spectacle Les essentielles;;2024-11-08T20:00:00+0200;2024-11-08T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-faustine-nogues/;;Échange;;
Ensachage de graines;Vie de la Grainothèque;;2024-11-08T20:00:00+0200;2024-11-08T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-2/;;Participation;;
Vox Low;Keep On Falling;;2024-11-14T20:00:00+0200;2024-11-14T22:00:00+0200;16584185;https://archipel.ville-fouesnant.fr/agenda/vox-low/;;Musique;;https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=818
