Id,links,keywords,mention,title,description,date,location
,https://www.danseatouslesetages.org/action-artistique/isabelle-richard/,CAP DanseExposition,En partenariat avec le réseau des médiathèques de CCA,Isabelle Richard,exposition,Du mardi 3 septembre au samedi 28 septembre,MELGVEN · Médiathèque
,https://www.danseatouslesetages.org/action-artistique/serj-philouze/,CAP DanseExposition,Organisée par la Ville de Melgven,Serj Philouze,exposition,Du mardi 3 septembre au samedi 28 septembre,MELGVEN
,https://www.danseatouslesetages.org/action-artistique/laurent-cebe/,CAP DanseExposition,En partenariat avec le réseau des médiathèques de CCA,Laurent Cebe,exposition,Du mardi 3 septembre au samedi 28 septembre,CONCARNEAU · Médiathèque
,https://www.danseatouslesetages.org/action-artistique/la-danse-de-doris/,CAP DanseExposition,En partenariat avec le réseau des médiathèques de CCA,La danse de Doris,Marie Poirier,Du mardi 3 septembre au samedi 28 septembre,SAINT-YVI · Médiathèque
,https://www.danseatouslesetages.org/action-artistique/seule-la-danse-une-annee-au-conservatoire-de-paris/,CAP DanseFilm,En partenariat avec le réseau des médiathèques de CCA,"Seule la danse, une année au conservatoire de Paris ",Stéphane Carrel,mardi 17 septembre - 18:00,ELLIANT · Médiathèque
,https://www.danseatouslesetages.org/action-artistique/masterclass/,CAP DanseMasterclass,,Masterclass,avec Bruce Chiefare,jeudi 19 septembre - 18:00,TRÉGUNC · Les Brigantines
,https://www.danseatouslesetages.org/evenement/inauguration-du-festival/,CAP DanseSpectacle,cérémonie de label,Inauguration du festival,,vendredi 20 septembre - 16:30,MELGVEN · Salle polyvalente
,https://www.danseatouslesetages.org/action-artistique/atelier-dessin/,AtelierCAP Danse,En partenariat avec la Ville de Melgven et le réseau des médiathèques de CCA,Atelier dessin,Isabelle Richard,samedi 21 septembre - 10:00,MELGVEN · Médiathèque
,https://www.danseatouslesetages.org/evenement/conversations-dansees/,AtelierCAP DanseSpectacle,En partenariat avec la Ville et le Musée de Pont-Aven,Conversations dansées,ensemble Chorégraphique du Conservatoire de Paris,samedi 21 septembre - 10:00,PONT-AVEN · parvis du musée
,https://www.danseatouslesetages.org/action-artistique/atelier-avec-laure-fouard/,AtelierCAP Danse,"En partenariat avec les Villes de Tourc’h et de Saint-Yvi, et l’Office de Tourisme De Concarneau à Pont-Aven. ",Atelier avec Laure Fouard,autour de Cinégraphie d'Émeline Rabadeux,samedi 21 septembre - 10:00,TOURC'H · SAINT-YVI
,https://www.danseatouslesetages.org/action-artistique/atelier-avec-laure-fouard/,AtelierCAP Danse,"En partenariat avec les Villes de Tourc’h et de Saint-Yvi, et l’Office de Tourisme De Concarneau à Pont-Aven. ",Atelier avec Laure Fouard,autour de Cinégraphie d'Émeline Rabadeux,dimanche 22 septembre - 10:00,TOURC'H · SAINT-YVI
,https://www.danseatouslesetages.org/evenement/cinegraphie/,CAP DanseExpositionSpectacle,"En partenariat avec les Villes de Tourc’h et de Saint-Yvi, et l’Office de Tourisme De Concarneau à Pont-Aven. ",Cinégraphie,Émeline Rabadeux,dimanche 22 septembre - 11:00,TOURC'H · SAINT-YVI
