title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Sidilarsen | Madam | Dropdead Chaos;-;;2024-10-12 20:00:00;2024-10-12 20:00:00;51319332;https://www.lesarcs.bzh/spectacles/sidilarsen-madam-dropdead-chaos/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/sidilarsen-listing-24-25.jpg;Métal;
Mes Souliers Sont Rouges;213 Productions présente;+ La Ruse du Père Lafeinte;2024-10-19 20:30:00;2024-10-19 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/mes-souliers-sont-rouges/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/mssr-2-listing-24-25.jpg;Chanson;
Robert Finley;"Dans le cadre du fesTival ""Les IndisciplinéEs""";+ Muddy Gurdy;2024-11-08 20:30:00;2024-11-08 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/robert-finley/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/robert-finley-listing-24-25.jpg;Blues Soul;
Chicago Blues Festival 2024;Avec Stephen Hull • Sheryl Youngblood • Dave Herrero;+ KEPA;2024-11-23 20:30:00;2024-11-23 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/chicago-blues-festival-2024/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/chicago-blues-listing-24-25.jpg;Blues;
Tiken Jah Fakoly;-;+ Jahkasa;2024-12-06 20:30:00;2024-12-06 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/tiken-jah-fakoly/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/tiken-jah-fakoly-listing-24-25.jpg;Reggae;
Clara Ysé;-;+ Paul Barreyre;2024-02-01 20:30:00;2024-02-01 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/clara-yse/;https://www.lesarcs.bzh/wp-content/uploads/2024/05/clara-yse-listing-24-25.jpg;Chanson;
Olivia Ruiz;-;+ Léman;2024-02-07 20:30:00;2024-02-07 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/olivia-ruiz/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Chanson;
Alain Chamfort;“Le meilleur de moi-même”;;2024-02-28 20:30:00;2024-02-28 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/alain-chamfort/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Chanson;
Tanguy Pastureau;présenTé par 213 ProducTions;;2024-03-08 20:30:00;2024-03-08 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/tanguy-pastureau/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Humour;
Ballaké Sissoko • Piers Faccini;-;+ Ledeunff;2024-03-15 20:30:00;2024-03-15 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/ballake-sissoko-piers-faccini/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Chanson;
Nora Hamzawi;présenTé par Arsenal ProducTions;;2024-03-21 20:00:00;2024-03-21 20:00:00;51319332;https://www.lesarcs.bzh/spectacles/nora-hamzawi-2/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Humour;
Benjamin Tranié;présenTé par Arsenal ProducTions en accord avec Agapè et SPG Records;;2024-04-04 20:30:00;2024-04-04 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/benjamin-tranie/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Humour;
Keziah Jones;-;+ Xavier Polycarpe;2024-04-05 20:30:00;2024-04-05 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/keziah-jones/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Blufunk Soul;
Waly Dia;présenTé par Arsenal ProducTions et AZ Prod en accord avec KWET;;2024-04-26 20:00:00;2024-04-26 20:00:00;51319332;https://www.lesarcs.bzh/spectacles/waly-dia/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Humour;
Camille;-;;2024-05-16 20:30:00;2024-05-16 20:30:00;51319332;https://www.lesarcs.bzh/spectacles/camille/;data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E;Chanson;
