"event-index","event-result-title-link","event-result-title-link href","event-result-date","event-result-genre-item","event-result-artist-link","event-result-artist-link href","price 2","tm-image src","btn","visually-hidden 2"
"1","PIERRE-EMMANUEL BARRÉ","https://www.ticketmaster.fr/fr/manifestation/pierre-emmanuel-barre-billet/idmanif/601572","9 avril 2025","HUMOUR ET ONE (WO)MAN SHOW - HUMOUR","PIERRE-EMMANUEL BARRÉ","https://www.ticketmaster.fr/fr/artiste/pierre-emmanuel-barre/idartiste/54359","32.00 €","https://www.ticketmaster.fr/statics/vignettes/n_pierre-emmanuel-barre_g.jpg","Réserver","PIERRE-EMMANUEL BARRÉ, CONCARNEAU, , 9 avril 2025"
"2","SNIPER + 1res parties","https://www.ticketmaster.fr/fr/manifestation/sniper-1res-parties-billet/idmanif/595384","18 octobre 2024","CONCERT - RAP HIP-HOP SLAM","SNIPER","https://www.ticketmaster.fr/fr/artiste/sniper/idartiste/486","21.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595384_g.jpg","Réserver","SNIPER + 1res parties, CONCARNEAU, , 18 octobre 2024"
"3","MO' KALAMITY","https://www.ticketmaster.fr/fr/manifestation/mo-kalamity-billet/idmanif/595370","2 novembre 2024","CONCERT - REGGAE SKA DUB","MO'KALAMITY'","https://www.ticketmaster.fr/fr/artiste/mo-kalamity/idartiste/53621","15.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595370_g.jpg","Réserver","MO' KALAMITY, CONCARNEAU, , 2 novembre 2024"
"4","VERANDA","https://www.ticketmaster.fr/fr/manifestation/veranda-billet/idmanif/595387","21 novembre 2024","CONCERT - BLUES COUNTRY","VERANDA","https://www.ticketmaster.fr/fr/artiste/veranda/idartiste/53629","13.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595387_g.jpg","Réserver","VERANDA, CONCARNEAU, , 21 novembre 2024"
"5","LE MALADE IMAGINAIRE","https://www.ticketmaster.fr/fr/manifestation/le-malade-imaginaire-billet/idmanif/595369","29 novembre 2024","THEATRE - THEATRE CONTEMPORAIN","LE MALADE IMAGINAIRE","https://www.ticketmaster.fr/fr/artiste/le-malade-imaginaire/idartiste/8477","13.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595369_g.jpg","Réserver","LE MALADE IMAGINAIRE, CONCARNEAU, , 29 novembre 2024"
"6","CHRISTIAN OLIVIER","https://www.ticketmaster.fr/fr/manifestation/christian-olivier-billet/idmanif/595365","6 décembre 2024","CONCERT - VARIETE ET CHANSON FRANCAISE","CHRISTIAN OLIVIER","https://www.ticketmaster.fr/fr/artiste/christian-olivier/idartiste/452","15.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595365_g.jpg","Réserver","CHRISTIAN OLIVIER, CONCARNEAU, , 6 décembre 2024"
"7","ALEX VIZOREK","https://www.ticketmaster.fr/fr/manifestation/alex-vizorek-billet/idmanif/595352","15 décembre 2024","HUMOUR ET ONE (WO)MAN SHOW - HUMOUR","ALEX VIZOREK","https://www.ticketmaster.fr/fr/artiste/alex-vizorek/idartiste/1785","21.00 €","https://www.ticketmaster.fr/statics/vignettes/n_alex-vizorek_g.jpg","Réserver","ALEX VIZOREK, CONCARNEAU, , 15 décembre 2024"
"8","PARPAING","https://www.ticketmaster.fr/fr/manifestation/parpaing-billet/idmanif/595375","24 janvier 2025","THEATRE - THEATRE CONTEMPORAIN","PARPAING","https://www.ticketmaster.fr/fr/artiste/parpaing/idartiste/36510","13.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595375_g.jpg","Réserver","PARPAING, CONCARNEAU, , 24 janvier 2025"
"9","POIL DE CAROTTE POIL DE CAROTTE","https://www.ticketmaster.fr/fr/manifestation/poil-de-carotte-poil-de-carotte-billet/idmanif/595363","26 janvier 2025","THEATRE - THEATRE CONTEMPORAIN","POIL DE CAROTTE","https://www.ticketmaster.fr/fr/artiste/poil-de-carotte/idartiste/9531","13.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595363_g.jpg","Réserver","POIL DE CAROTTE POIL DE CAROTTE, CONCARNEAU, , 26 janvier 2025"
"10","BLØND AND BLÖND AND BLÓND","https://www.ticketmaster.fr/fr/manifestation/bl-nd-and-blond-and-bl-nd-billet/idmanif/595360","28 février 2025","SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL","BLØND AND BLÖND AND BLÓND","https://www.ticketmaster.fr/fr/artiste/bl-nd-and-blond-and-bl-nd/idartiste/37570","21.00 €","https://www.ticketmaster.fr/statics/vignettes/a_595360_g.jpg","Réserver","BLØND AND BLÖND AND BLÓND, CONCARNEAU, , 28 février 2025"
