"item","item href","adapt-img src","dates-evenement","lieu","item 2"
"|","https://www.quatreassetplus.fr/L-homme-montagne.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/44/384b407889a79f84f02ad03780d31a.png?1724882913","dimanche 20 octobre 2024","Centre Culturel Rosporden","L’homme montagne"
"|","https://www.quatreassetplus.fr/El-maout.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/34/e684d3aea41aee176992e57f22b3a3.jpg?1725037068","samedi 9 novembre 2024","Centre Culturel Rosporden","El maout"
"|","https://www.quatreassetplus.fr/Emily-LOIZEAU.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/e5/a5a6841b875d5bfb02ca6e99b6e604.jpg?1724954513","samedi 18 janvier 2025","Centre Culturel Rosporden","Emily LOIZEAU"
"|","https://www.quatreassetplus.fr/Titi-tombe-Titi-tombe-pas-716.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/47/60bc522f5129766d85cf69d2e4ab7f.png?1724954505","vendredi 21 février 2025","Centre Culturel Rosporden","Titi tombe, Titi tombe pas"
"|","https://www.quatreassetplus.fr/On-disait-qu-on-faisait-la-fete.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/46/94a8165b1d20d7a4db9456afa80d89.png?1725096420","dimanche 9 mars 2025","Centre Culturel Rosporden","On disait qu’on faisait la fête"
"|","https://www.quatreassetplus.fr/Numero-Dys.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/a7/8d5df6999506048ba3c2c4685993a8.jpg?1725035024","dimanche 16 mars 2025","Centre Culturel Rosporden","Numéro Dys"
"|","https://www.quatreassetplus.fr/JE-SUIS-TIGRE.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/a4/8a2c1c50977189caf5103880bb2718.png?1725036775","dimanche 30 mars 2025","Centre Culturel Rosporden","JE SUIS TIGRE"
"|","https://www.quatreassetplus.fr/VIVALDI-ET-VENISE.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/f1/2018c21d83fe08c171c895104777e2.png?1724936704","dimanche 18 mai 2025","Centre Culturel Rosporden","VIVALDI ET VENISE"
"|","https://www.quatreassetplus.fr/Celle-qui-oublie-de-scintiller-721.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/79/f9796b48c397917d06a06a93cabc67.jpg?1724906605","samedi 24 mai 2025","Centre Culturel Rosporden","Celle qui oublie de scintiller"
"|","https://www.quatreassetplus.fr/Soleil-noir.html","https://www.quatreassetplus.fr/local/adapt-img/440/10x/local/cache-gd2/22/605cb51d8158d1c2a35e8d591f6341.png?1726560589","vendredi 20 juin 2025","Centre Culturel Rosporden","Soleil noir"
