"agenda-item href","img-fluid src","mb-0","d-block","mb-0 2","mb-0 3"
"https://www.hydrophone.fr/YANN-TIERSEN-Solo-Piano-Electronics-QUINQUIS-Ninnog-tournee-a-la-voile.html","https://www.hydrophone.fr/local/cache-gd2/91/09ee341598033f8c603a54eb5cb96b.jpg?1725870952","dim. 29
Sep/ 17h30","Concert-Complet","Complet","YANN TIERSEN (Solo Piano + Electronics) + QUINQUIS : Ninnog, tournée à la voile"
"https://www.hydrophone.fr/MAXWELL-FARRINGTON-LE-SUPERHOMARD-AURE-HYDROPHONE-Lorient.html","https://www.hydrophone.fr/local/cache-gd2/4d/31d2228258b64d1ed24de6cbc2cc38.jpg?1718716591","jeu. 03
Oct/ 20h","Concert","Nouveau","MAXWELL FARRINGTON & LE SUPERHOMARD + AURE"
"https://www.hydrophone.fr/Nuit-Noire-HYDROPHONE-Lorient.html","https://www.hydrophone.fr/local/cache-gd2/c0/a31cc0aff50851ea07f6f5128d3094.jpg?1726736092","sam. 12
Oct/ 20h30","Concert déssiné","Nouveau","Nuit Noire"
"https://www.hydrophone.fr/WARM-UP-INDISCIPLINEES-GABLE-BACCHANTES.html","https://www.hydrophone.fr/local/cache-gd2/e1/b03e20d3818178538cc541fc4b0030.jpg?1726736480","ven. 18
Oct/ 20h30","Concert","Nouveau","WARM-UP INDISCIPLINÉES : GABLÉ + BACCHANTES"
"https://www.hydrophone.fr/MICHKA-ASSAYAS-UNE-HISTOIRE-INTIME-DE-LA-MUSIQUE-ET-DE-LA-LITTERATURE.html","https://www.hydrophone.fr/local/cache-gd2/00/760769315868ccb9a3129774af4efe.jpg?1726736480","ven. 25
Oct/ 18h30","Lecture-Concert","Nouveau","MICHKA ASSAYAS : UNE HISTOIRE INTIME DE LA MUSIQUE ET DE LA LITTÉRATURE"
"https://www.hydrophone.fr/Black-Bones-OH-YEAH-OH-YEAH-464.html","https://www.hydrophone.fr/local/cache-gd2/de/e626e7d1853c93192a823391773ca9.jpg?1719560966","ven. 01
Nov/ 15h","Spectacle Jeunesse","","Black Bones - OH YEAH ! OH YEAH !"
"https://www.hydrophone.fr/Porridge-Radio-Maddy-Street-Bibi-Club-C-Turtle.html","https://www.hydrophone.fr/local/cache-gd2/ec/a55b0ba67abed35d207319edf938d2.jpg?1719560966","sam. 02
Nov/ 20h30","Concert","","Porridge Radio
+ Maddy Street
+Bibi Club
+ C Turtle"
"https://www.hydrophone.fr/Lysistrata-Youff-Trainfantome.html","https://www.hydrophone.fr/local/cache-gd2/70/6e6fc0a2c9deb486924e5eba9080bc.jpg?1719560966","mer. 06
Nov/ 20h","Concert","","Lysistrata
+ Youff
+ Trainfantome"
"https://www.hydrophone.fr/Corridor-Feldup-Cucamaras-Gift.html","https://www.hydrophone.fr/local/cache-gd2/61/e2de859cbbb6f2c74130883cf19fe7.jpg?1719560967","jeu. 07
Nov/ 20h","Concert","","Corridor
+ Feldup
+ Cucamaras
+ Gift"
"https://www.hydrophone.fr/Robert-Finley-Muddy-Gurdy.html","https://www.hydrophone.fr/local/cache-gd2/d5/9e8f37054b05d53395e40cea556d26.jpg?1719560967","ven. 08
Nov/ 20h30","Concert","","Robert Finley
+ Muddy Gurdy"
"https://www.hydrophone.fr/Vivre-Libre-ou-Mourir-par-Arnaud-le-Gouefflec.html","https://www.hydrophone.fr/local/cache-gd2/14/42ce0495515a60d5ca53a0cd21b542.jpg?1726151448","sam. 09
Nov/ 15h","Conférence","Nouveau","""Vivre Libre ou Mourir"" par Arnaud le Gouëfflec"
"https://www.hydrophone.fr/ERWAN-KERAVEC-8-SONNEURS-POUR-PHILIP-GLASS.html","https://www.hydrophone.fr/local/cache-gd2/ea/5eefd8223c79d1d898a7df3d7454ba.png?1726128562","sam. 09
Nov/ 17h30","Concert","Nouveau","ERWAN KERAVEC : 8 SONNEURS POUR PHILIP GLASS"
"https://www.hydrophone.fr/Plastic-Party.html","https://www.hydrophone.fr/local/cache-gd2/c8/08e2edfc3a0f4e43c14d34a78e71fd.jpg?1719585798","sam. 09
Nov/ 18h","Spectacle Jeunesse","","Plastic Party"
"https://www.hydrophone.fr/Irene-Dresel-Jessica-Winter-Cheval-de-Trait.html","https://www.hydrophone.fr/local/cache-gd2/c2/ee6b72a8aecbfa83210d9f57be0d73.jpg?1719560967","sam. 09
Nov/ 20h30","Concert","","Irène Drésel + Jessica Winter + Cheval de Trait"
"https://www.hydrophone.fr/French-79-Lucie-Antunes-Alias.html","https://www.hydrophone.fr/local/cache-gd2/b6/7744d2d98071c0b52c30ee165c43e4.jpg?1719560967","dim. 10
Nov/ 20h30","Concert","","French 79 + Lucie Antunes + Alias"
"https://www.hydrophone.fr/BEAK-CRAZE-ANASTASIA-COOPE.html","https://www.hydrophone.fr/local/cache-gd2/6f/e64c4207e1a3dd9c04d8b1a8f7b8e1.jpg?1719567923","lun. 11
Nov/ 16h","Concert","","BEAK>
+ CRAZE
+ ANASTASIA COOPE"
"https://www.hydrophone.fr/PARLOR-SNAKES-SERVO-HYDROPHONE-Lorient.html","https://www.hydrophone.fr/local/cache-gd2/dd/a6c09d39c7b2b3eef5e65297ad4525.jpg?1726736481","jeu. 28
Nov/ 20h","Concert","Nouveau","PARLOR SNAKES + SERVO"
"https://www.hydrophone.fr/LFSM-DOG-PARK-MARY-BELL-DAME-AREA-HYDROPHONE-Lorient.html","https://www.hydrophone.fr/local/cache-gd2/40/6ba303707e551b4f5aa5a9b9211b7f.jpg?1720771050","Ven. 29 Nov 14h00","Concert","Nouveau","Festival ""Les Femmes S’en Mêlent"" : DOG PARK + MARY BELL + DAME AREA"
"https://www.hydrophone.fr/Festival-NO-BORDER-HORS-LES-MURS-NDOX-ELECTRIQUE-HYDROPHONE-Lorient.html","https://www.hydrophone.fr/local/cache-gd2/ae/0a570ccd089507565c4fe26be8b7e9.jpg?1726736614","ven. 13
Dec/ 20h30","Concert","Nouveau","NO BORDER ""HORS LES MURS"" : NDOX ELECTRIQUE"
