"card__link href","a42-ac-replace-img src","card__date_day","card__date_month","card__category","card__title","card__description"
"https://www.lathena.bzh/agenda/exposition-arkae-gabericois-au-travail/","https://www.lathena.bzh/wp-content/uploads/2024/07/Agriculture_Battage_Don-Catherine-Bales1-Copie-385x0-c-default.jpg","24","septembre","Expositions","Exposition ARKAE “Gabéricois au travail à travers le 20ème siècle”","Des clichés sur les vieux métiers exercés par les Gabéricois venant des fonds collectés par l’association ARKAE depuis plus de 30 ans."
"https://www.lathena.bzh/agenda/tango-4-temps-spectacle-enfant/","https://www.lathena.bzh/wp-content/uploads/2024/09/JeuneP_tango-pour-4-temps-385x0-c-default.jpg","02","octobre","Jeune public","Tango pour quatre temps | Spectacle enfant","Dans le cadre de la SEMAINE BLEUE : ""Tango pour 4 temps"" par la Compagnie Les 3 Valoches est un conte accompagné de magie. Un spectacle…"
"https://www.lathena.bzh/agenda/exposition-jacques-keribin/","https://www.lathena.bzh/wp-content/uploads/2024/07/N%C2%B016-385x0-c-default.jpg","09","octobre","Expositions","Exposition Jacques Kéribin","Salon de peinture 2024 : 1er Prix, Prix de la ville d'Ergué-Gabéric et Prix du Public. M. Kéribin est le premier à avoir reçu 2 prix…"
"https://www.lathena.bzh/agenda/vanupie-concert/","https://www.lathena.bzh/wp-content/uploads/2024/09/musique_vanupie-385x0-c-default.jpg","11","octobre","Musique","Vanupié | Concert","Baroudeur éclectique à la voix extraterrestre, VANUPIÉ est aujourd’hui un artiste que l’on ne présente plus. Son énergie résolument positive a su conquérir un public de…"
"https://www.lathena.bzh/agenda/secret-beatmaker-spectacle-enfant/","https://www.lathena.bzh/wp-content/uploads/2024/09/JeuneP_secrets-de-beatmaker-385x0-c-default.jpg","22","octobre","Jeune public","Secrets de beatmaker – Photøgraph | Spectacle enfant","Entourés de machines électroniques en tous genres et d’un bric-à-brac sonore aussi bizarroïde qu’inattendu, les trois protagonistes du groupe Photøgraph entrouvrent la porte de leur atelier…"
"https://www.lathena.bzh/agenda/waterplouf-cirque/","https://www.lathena.bzh/wp-content/uploads/2024/09/Cirque_Waterplouf-385x0-c-default.jpg","26","octobre","Cirque","Waterplouf noyade interdite | Cirque","Ce spectacle pour enfants et familles évoque, avec humour et fantaisie, cet univers plaisant et un peu inquiétant parfois ; la mer. Au croisement du cirque,…"
"https://www.lathena.bzh/agenda/exposition-nicolas-le-dret-maud-kerboriou/","https://www.lathena.bzh/wp-content/uploads/2024/09/vous-avez-un-message-recadre-385x0-c-default.jpg","29","octobre","Expositions","Exposition Nicolas Le Dret & Maud Kerboriou","Exposition partagée par deux artistes dont les oeuvres se retrouvent sur le thème de la Nature."
"https://www.lathena.bzh/agenda/epopee-penelope-spectacle-enfant/","https://www.lathena.bzh/wp-content/uploads/2024/09/JeuneP_l-epopee-de-penelope-385x0-c-default.jpg","30","octobre","Jeune public","L’épopée de Pénélope | Spectacle enfant","Une odyssée tricotée ! L’Épopée de Pénélope est l’Odyssée d’Ulysse vécue par son épouse. L'épopée de Pénélope, c'est raconter l’Odyssée vécue par une femme au foyer,…"
"https://www.lathena.bzh/agenda/randy-pex-furlax-concert/","https://www.lathena.bzh/wp-content/uploads/2024/09/musique_randypexfurlax-385x0-c-default.jpg","02","novembre","Musique","Randy + PEX + Furlax | Concert","À l'occasion d'une soirée rap, 3 artistes se produisent en concert : Randy avec sa ""Feel Good Music"", PEX qui qualifie lui-même sa musique de poésie…"
"https://www.lathena.bzh/agenda/artistes-en-fuite-cirque/","https://www.lathena.bzh/wp-content/uploads/2024/09/Cirque_PSSS-385x0-c-default.jpg","17","novembre","Cirque","PsSs ! Artistes en fuite … | Cirque","Dans un monde sans spectacle, PsSs! Artistes en Fuite… questionne la liberté accordée à l’art dans notre monde, à travers le prisme d’un univers dystopique, mais…"
