"left href","left","left 2","left 3","left href 2","picture src","left 4"
"https://nm1.ffbb.com/match/790286-tarbes-lourdes-quimper","14 sept. 2024","J1","@","https://nm1.ffbb.com/equipe/2937-tarbes-lourdes","https://www.proballers.com/api/getTeamLogo?id=2937&width=50","Tarbes-Lourdes"
"https://nm1.ffbb.com/match/790297-quimper-levallois-mbc","20 sept. 2024","J2","vs","https://nm1.ffbb.com/equipe/3-levallois-mbc","https://www.proballers.com/api/getTeamLogo?id=3&width=50","Levallois"
"https://nm1.ffbb.com/match/790298-poissy-quimper","27 sept. 2024","J3","@","https://nm1.ffbb.com/equipe/29-poissy","https://www.proballers.com/api/getTeamLogo?id=29&width=50","Poissy"
"https://nm1.ffbb.com/match/790311-quimper-vendee-challans-basket","4 oct. 2024","J4","vs","https://nm1.ffbb.com/equipe/341-vendee-challans-basket","https://www.proballers.com/api/getTeamLogo?id=341&width=50","Challans"
"https://nm1.ffbb.com/match/790318-cep-lorient-quimper","8 oct. 2024","J5","@","https://nm1.ffbb.com/equipe/247-cep-lorient","https://www.proballers.com/api/getTeamLogo?id=247&width=50","Lorient"
"https://nm1.ffbb.com/match/790325-quimper-aurore-de-vitre","11 oct. 2024","J6","vs","https://nm1.ffbb.com/equipe/269-aurore-de-vitre","https://www.proballers.com/api/getTeamLogo?id=269&width=50","Vitré"
"https://nm1.ffbb.com/match/790329-pays-de-fougeres-quimper","18 oct. 2024","J7","@","https://nm1.ffbb.com/equipe/345-pays-de-fougeres","https://www.proballers.com/api/getTeamLogo?id=345&width=50","Pays de Fougères"
"https://nm1.ffbb.com/match/790339-quimper-angers","25 oct. 2024","J8","vs","https://nm1.ffbb.com/equipe/33-angers","https://www.proballers.com/api/getTeamLogo?id=33&width=50","Angers"
"https://nm1.ffbb.com/match/790344-rennes-quimper","29 oct. 2024","J9","@","https://nm1.ffbb.com/equipe/1902-rennes","https://www.proballers.com/api/getTeamLogo?id=1902&width=50","Rennes"
"https://nm1.ffbb.com/match/790353-quimper-stade-toulousain-basketball","1 nov. 2024","J10","vs","https://nm1.ffbb.com/equipe/1844-stade-toulousain-basketball","https://www.proballers.com/api/getTeamLogo?id=1844&width=50","Toulouse"
"https://nm1.ffbb.com/match/790359-les-sables-vendee-quimper","5 nov. 2024","J11","@","https://nm1.ffbb.com/equipe/14016-les-sables-vendee","https://www.proballers.com/api/getTeamLogo?id=14016&width=50","Les Sables d’Olonne"
"https://nm1.ffbb.com/match/790367-quimper-tours","9 nov. 2024","J12","vs","https://nm1.ffbb.com/equipe/13305-tours","https://www.proballers.com/api/getTeamLogo?id=13305&width=50","Tours"
"https://nm1.ffbb.com/match/790374-quimper-pole-france","15 nov. 2024","J13","vs","https://nm1.ffbb.com/equipe/256-pole-france","https://www.proballers.com/api/getTeamLogo?id=256&width=50","Pôle France"
"https://nm1.ffbb.com/match/790377-quimper-tarbes-lourdes","29 nov. 2024","J14","vs","https://nm1.ffbb.com/equipe/2937-tarbes-lourdes","https://www.proballers.com/api/getTeamLogo?id=2937&width=50","Tarbes-Lourdes"
"https://nm1.ffbb.com/match/790388-levallois-mbc-quimper","6 déc. 2024","J15","@","https://nm1.ffbb.com/equipe/3-levallois-mbc","https://www.proballers.com/api/getTeamLogo?id=3&width=50","Levallois"
"https://nm1.ffbb.com/match/790389-quimper-poissy","13 déc. 2024","J16","vs","https://nm1.ffbb.com/equipe/29-poissy","https://www.proballers.com/api/getTeamLogo?id=29&width=50","Poissy"
"https://nm1.ffbb.com/match/790402-vendee-challans-basket-quimper","18 déc. 2024","J17","@","https://nm1.ffbb.com/equipe/341-vendee-challans-basket","https://www.proballers.com/api/getTeamLogo?id=341&width=50","Challans"
"https://nm1.ffbb.com/match/790409-quimper-cep-lorient","7 janv. 2025","J18","vs","https://nm1.ffbb.com/equipe/247-cep-lorient","https://www.proballers.com/api/getTeamLogo?id=247&width=50","Lorient"
"https://nm1.ffbb.com/match/790416-aurore-de-vitre-quimper","11 janv. 2025","J19","@","https://nm1.ffbb.com/equipe/269-aurore-de-vitre","https://www.proballers.com/api/getTeamLogo?id=269&width=50","Vitré"
"https://nm1.ffbb.com/match/790420-quimper-pays-de-fougeres","17 janv. 2025","J20","vs","https://nm1.ffbb.com/equipe/345-pays-de-fougeres","https://www.proballers.com/api/getTeamLogo?id=345&width=50","Pays de Fougères"
"https://nm1.ffbb.com/match/790430-angers-quimper","24 janv. 2025","J21","@","https://nm1.ffbb.com/equipe/33-angers","https://www.proballers.com/api/getTeamLogo?id=33&width=50","Angers"
"https://nm1.ffbb.com/match/790435-quimper-rennes","28 janv. 2025","J22","vs","https://nm1.ffbb.com/equipe/1902-rennes","https://www.proballers.com/api/getTeamLogo?id=1902&width=50","Rennes"
"https://nm1.ffbb.com/match/790444-stade-toulousain-basketball-quimper","31 janv. 2025","J23","@","https://nm1.ffbb.com/equipe/1844-stade-toulousain-basketball","https://www.proballers.com/api/getTeamLogo?id=1844&width=50","Toulouse"
"https://nm1.ffbb.com/match/790450-quimper-les-sables-vendee","4 févr. 2025","J24","vs","https://nm1.ffbb.com/equipe/14016-les-sables-vendee","https://www.proballers.com/api/getTeamLogo?id=14016&width=50","Les Sables d’Olonne"
"https://nm1.ffbb.com/match/790458-tours-quimper","7 févr. 2025","J25","@","https://nm1.ffbb.com/equipe/13305-tours","https://www.proballers.com/api/getTeamLogo?id=13305&width=50","Tours"
"https://nm1.ffbb.com/match/790465-pole-france-quimper","14 févr. 2025","J26","@","https://nm1.ffbb.com/equipe/256-pole-france","https://www.proballers.com/api/getTeamLogo?id=256&width=50","Pôle France"
