"spectacle href","img-responsive src","hover-box","hover-box 2","hover-box 3","info"
"https://theatredelorient.fr/spectacle/le-misanthrope-2/","https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg","Création-Théâtre","09/10/2024","MOLIÈRE, SIMON DELÉTANG","LE MISANTHROPE"
"https://theatredelorient.fr/spectacle/le-misanthrope-2/","https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg","Création-Théâtre","10/10/2024","MOLIÈRE, SIMON DELÉTANG","LE MISANTHROPE"
"https://theatredelorient.fr/spectacle/le-misanthrope-2/","https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg","Création-Théâtre","11/10/2024","MOLIÈRE, SIMON DELÉTANG","LE MISANTHROPE"
"https://theatredelorient.fr/spectacle/le-misanthrope-2/","https://theatredelorient.fr/cosmo/wp-content/uploads/2023/09/DSC_6426-2-scaled-e1697115304271-300x107.jpg","Création-Théâtre","15/10/2024","MOLIÈRE, SIMON DELÉTANG","LE MISANTHROPE"
"https://theatredelorient.fr/spectacle/maldonne/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.33.54-300x200.png","Danse","06/11/2024","LEÏLA KA","MALDONNE"
"https://theatredelorient.fr/spectacle/maldonne/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.33.54-300x200.png","Danse","07/11/2024","LEÏLA KA","MALDONNE"
"https://theatredelorient.fr/spectacle/un-requiem-allemand/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.41.36-300x201.png","Musique","14/11/2024","JOHANNES BRAHMS,  CHŒUR DE CHAMBRE MÉLISME(S)","UN REQUIEM ALLEMAND"
"https://theatredelorient.fr/spectacle/cette-note-qui-commence-au-fond-de-ma-gorge/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.49.28-300x202.png","Musique-Théâtre","20/11/2024","FABRICE MELQUIOT","CETTE NOTE QUI COMMENCE AU FOND DE MA GORGE"
"https://theatredelorient.fr/spectacle/cette-note-qui-commence-au-fond-de-ma-gorge/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.49.28-300x202.png","Musique-Théâtre","21/11/2024","FABRICE MELQUIOT","CETTE NOTE QUI COMMENCE AU FOND DE MA GORGE"
"https://theatredelorient.fr/spectacle/escale-le-theatre-prend-la-voile/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/06/VOILE-300x212.png","Escale","23/11/2024","","ESCALE : LE THÉÂTRE PREND LA VOILE"
"https://theatredelorient.fr/spectacle/peau-dane-la-fete-est-finie/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.55.41-e1727177162885-300x181.png","Théâtre","27/11/2024","MARIE DILASSER , HÉLÈNE SOULIÉ, HÉLÈNE SOULIÉ","PEAU D’ÂNE – LA FÊTE EST FINIE"
"https://theatredelorient.fr/spectacle/peau-dane-la-fete-est-finie/","https://theatredelorient.fr/cosmo/wp-content/uploads/2024/04/Capture-decran-2024-04-17-a-15.55.41-e1727177162885-300x181.png","Théâtre","28/11/2024","MARIE DILASSER , HÉLÈNE SOULIÉ, HÉLÈNE SOULIÉ","PEAU D’ÂNE – LA FÊTE EST FINIE"
