"evenement href","evenement src","date","evenement","sub","sub 2"
"https://www.cap-caval.fr/evenements/thomas-croisiere/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/CC-P22-AFFICHE_VEC_TC_2023-430x430.jpg","dimanche 22 septembre 2024","THOMAS CROISIERE","Humour",""
"https://www.cap-caval.fr/evenements/yann-tiersen/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/TIERSEN-Kerber-Complete-2024-CREDIT-RICHARD-DUMAS-1-430x430.jpg","vendredi 27 septembre 2024","YANN TIERSEN","Concert",""
"https://www.cap-caval.fr/evenements/halloween-night-vol-4/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/PETER-AND-THE-TEST-TUBES-BABIES-430x430.jpg","jeudi 31 octobre 2024","HALLOWEEN NIGHT Vol.4","Concert",""
"https://www.cap-caval.fr/evenements/jean-jacques-vanier/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/jean-jacques-vanier-a-la-recherche-de-la-recherche-a-la-comedie-odeon-photo-xavier-cantat-1717349922-430x430.jpg","vendredi 8 novembre 2024","JEAN-JACQUES VANIER","Humour",""
"https://www.cap-caval.fr/evenements/ma-famille-en-or/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/MA-FAMILLE-EN-OR-1-430x430.jpg","dimanche 17 novembre 2024","MA FAMILLE EN OR","Théâtre",""
"https://www.cap-caval.fr/evenements/la-boule/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/25-0120-boule-01_C_jean-claude-leblanc-430x430.jpg","jeudi 23 janvier 2025","LA BOULE","Cirque","Présenté dans le cadre du festival CIRCONOVA"
"https://www.cap-caval.fr/evenements/christophe-aleveque-2/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/aleveque-430x430.jpg","samedi 1 février 2025","CHRISTOPHE ALEVEQUE","Humour","REVUE DE PRESSE"
"https://www.cap-caval.fr/evenements/guillaume-meurice-eric-lagadec/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/Vers-linfini-HD_page-0002-430x430.jpg","vendredi 7 février 2025","GUILLAUME MEURICE & ERIC LAGADEC","Humour",""
"https://www.cap-caval.fr/evenements/tnt-ac-dc-tribute-band/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/51195-tnt-ac-dc-tribute-band-en-concert-le-16-septembre-au-hall-comminges-de-colomiers-31.jpg-430x430.jpg","vendredi 28 février 2025","TNT AC/DC TRIBUTE BAND","Concert",""
"https://www.cap-caval.fr/evenements/faada-freddy/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/07/Faada-Freddy-CoverGoldenCages%E2%94%AC%C2%AEOmar-Victor-Diop-430x430.jpg","samedi 29 mars 2025","FAADA FREDDY","Concert","1ère partie à définir"
"https://www.cap-caval.fr/evenements/berengere-krief/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/BK-SEXE-1080x1080-1-430x430.jpg","vendredi 4 avril 2025","BERENGERE KRIEF","Humour",""
"https://www.cap-caval.fr/evenements/alexandre-kominek/","https://www.cap-caval.fr/wp-content/uploads/sites/3/2024/06/WEB_BD_KOMINEK_AFFICHE_SPECTACLE-430x430.jpg","samedi 17 mai 2025","ALEXANDRE KOMINEK","Humour",""
