"attachment-carre src","lkbillevtinv href","titartprog","lkevt","titartprog 2","typevt","lkbillevt href"
"https://lenovomax.bzh/wp-content/uploads/2024/08/457255008-1239942310580254-232522072557461925-n-500x500.jpg","https://lenovomax.bzh/evenement/2007/","Apéro de rentrée bénévoles","jeu 05 septembre - 18h30","Apéro de rentrée bénévoles","",""
"https://lenovomax.bzh/wp-content/uploads/2024/08/457464741-521496007226792-3289919368246276454-n-500x500.jpg","https://lenovomax.bzh/evenement/forum-des-associations/","Forum des associations","sam 07 septembre","Forum des associations","",""
"https://lenovomax.bzh/wp-content/uploads/2024/07/visuel-tous-en-fettte-web-500x500.png","https://lenovomax.bzh/evenement/tous-en-fettte/","Tous en fêTTTe !","dim 15 septembre","Tous en fêTTTe !","Ouverture de saison Très Tôt Théâtre",""
"https://lenovomax.bzh/wp-content/uploads/2022/07/2016-06-bv-max-jacob-f-dantart-novomax-resize-6-500x500.jpg","https://lenovomax.bzh/evenement/journees-europeennes-du-patrimoine/","Journées européennes du Patrimoine","21 & 22 septembre","Journées européennes du Patrimoine","Visites guidées","https://www.weezevent.com/widget_billeterie.php?id_evenement=1184344&widget_key=E1184344&locale=fr_FR&color_primary=00AEEF&code=47961&width_auto=1"
"https://lenovomax.bzh/wp-content/uploads/2024/07/please-credit-harry-borden-500x500.jpg","https://lenovomax.bzh/evenement/adrian-sherwood/","Adrian Sherwood","sam 28 septembre - 21h","STEPART","Soirée dub","https://lenovomax.soticket.net/evenement/28-09-2024-21-00-adrian-sherwood-dubchroniks"
"https://lenovomax.bzh/wp-content/uploads/2024/06/extrawelt-novomax-carre-insta-500x500.png","https://lenovomax.bzh/evenement/soiree-electro-par-synchrone/","Extrawelt","sam 05 octobre - 21h30","Sonic Crew","Soirée électro","https://my.weezevent.com/synchrone-invite-extrawelt-soniccrew-maxcoast-karabass"
"https://lenovomax.bzh/wp-content/uploads/2024/06/david-dollman-kriill-2261-web-500x500.jpg","https://lenovomax.bzh/evenement/kriill-middle-child/","Kriill","sam 19 octobre - 21h","Middle child","Concert pop indé","https://lenovomax.soticket.net/evenement/19-10-2024-21-00-kriill-middle-child"
"https://lenovomax.bzh/wp-content/uploads/2024/07/elysianfieldsbymichaellavine-2382-500x500.jpg","https://lenovomax.bzh/evenement/elysian-fields-mediavolo/","Elysian Fields","sam 26 octobre - 21h","Mediavolo","Concerts rock / dream pop","https://lenovomax.soticket.net/evenement/26-10-2024-21-00-elysian-fields-mediavolo"
"https://lenovomax.bzh/wp-content/uploads/2024/07/pt-pic-1-jerome-blin-500x500.jpg","https://lenovomax.bzh/evenement/papier-tigre-la-jungle/","Papier tigre","sam 02 novembre - 21h","La Jungle","Concert rock / noise / transe","https://lenovomax.soticket.net/evenement/02-11-2024-21-00-papier-tigre-la-jungle"
"https://lenovomax.bzh/wp-content/uploads/2024/08/2024-03-06-m-nicolle-10-500x500.jpg","https://lenovomax.bzh/evenement/eesah-yasuke/","Eesah Yasuke","sam 09 novembre - 21h","Fanny Polly","Concert rap","https://lenovomax.soticket.net/evenement/09-11-2024-21-00-eesah-yasuke-fanny-polly"
"https://lenovomax.bzh/wp-content/uploads/2024/08/affiche-validee-v2-500x500.jpg","https://lenovomax.bzh/evenement/finistellaire-4/","FINISTELLAIRE #4","Du 15 au 17 NOVEMBRE","FINISTELLAIRE #4","Festival de littérature SFFF",""
"https://lenovomax.bzh/wp-content/uploads/2024/07/faltazi-2024-500x500.png","https://lenovomax.bzh/evenement/faltazi/","Faltazi","Du 21 au 24 novembre","Faltazi","Festival du film autoproduit",""
"https://lenovomax.bzh/wp-content/uploads/2024/06/03-500x500.jpg","https://lenovomax.bzh/evenement/imparfait-kill-the-princess/","Imparfait","ven 29 novembre - 21h","Kill The Princess","Concerts rock / métal alternatif","https://lenovomax.soticket.net/evenement/29-11-2024-21-00-imparfait-kill-the-princess"
"https://lenovomax.bzh/wp-content/uploads/2024/07/xx0190-500x500.jpg","https://lenovomax.bzh/evenement/cornemuses-2024/","CORNEMUSES 2024","sam 07 décembre - 10h","CORNEMUSES 2024","Concours",""
"https://lenovomax.bzh/wp-content/uploads/2024/07/leparfum23commelair-500x500.jpg","https://lenovomax.bzh/evenement/tata-le-parfum-de-mes-souvenirs/","Le parfum de mes souvenirs","dim 15 décembre - 17h","Le parfum de mes souvenirs","Théâtre et objets - dès  7 ans","https://tres-tot-theatre.notre-billetterie.com/billets?spec=314&kld=2425"
"https://lenovomax.bzh/wp-content/uploads/2024/07/soleil-planetekamil-f2213-500x500.jpg","https://lenovomax.bzh/evenement/tata-soleil-planete/","Soleil Planète","sam 21 décembre","Soleil Planète","Concert pop - dès  6 mois","https://tres-tot-theatre.notre-billetterie.com/billets?spec=314&kld=2425"
